Taxonomy	C1	C2	C3	Y1	Y2	Y3
Aalivirus	0	0	0	0	0	0
Aarhusvirus	0	0	0	0	0	0
Abaiavirus	0	0	0	0	0	0
Abakapovirus	0	0	0	0	0	0
Abbeymikolonvirus	0	0	0	0	0	0
Aberdnavirus	0	0	0	0	0	0
Abidjanvirus	0	0	0	0	0	0
Abiotrophia	0	0	3	18	19	13
Abouovirus	0	0	0	0	0	0
Abyssalbus	0	0	0	0	0	0
Abyssibius	0	0	0	0	0	0
Abyssicoccus	0	0	0	0	0	0
Acadevirus	0	0	0	0	0	0
Acadianvirus	0	0	0	0	0	0
Acajnonavirus	0	0	0	0	0	0
Acamarivirus	0	0	0	0	0	0
Acanvirus	0	0	0	0	0	0
Acaryochloris	2	0	0	0	0	0
Acciovirus	0	0	0	0	0	0
Aceticella	0	0	0	0	2	3
Acetilactobacillus	1	0	1	0	0	0
Acetivibrio	2	11	9	5	9	5
Acetoanaerobium	0	2	0	0	7	0
Acetobacter	2	5	5	2	8	0
Acetobacterium	5	5	8	3	10	7
Acetobacteroides	10	1	2	0	0	0
Acetohalobium	0	0	0	1	0	0
Achlievirus	0	0	0	0	0	0
Acholeplasma	0	5	0	0	0	3
Achromobacter	41	29	34	30	56	28
Acidaminococcus	23	15	12	0	4	9
Acidianus	0	0	0	1	0	0
Acidibrevibacterium	0	0	0	0	0	0
Acididesulfobacillus	19	5	0	0	1	0
Acidiferrobacter	8	3	1	0	0	0
Acidihalobacter	8	1	1	0	0	2
Acidilobus	0	0	0	0	0	0
Acidilutibacter	0	0	0	0	0	1
Acidimicrobium	3	0	3	0	0	0
Acidiphilium	6	2	0	0	3	0
Acidiplasma	0	0	0	0	0	0
Acidipropionibacterium	5	8	3	1	1	1
Acidisarcina	0	0	0	0	0	0
Acidisoma	1	0	1	0	0	0
Acidithiobacillus	15	13	4	0	1	0
Acidobacterium	0	7	8	0	1	1
Acidocella	3	2	17	0	0	0
Acidothermus	1	0	0	0	0	0
Acidovorax	25	16	15	3	1	4
Aciduricibacillus	1	5	0	0	0	0
Acinetobacter	18	37	7	6	57	20
Acionnavirus	0	0	0	0	0	0
Acridvirus	0	0	0	0	0	0
Actibacterium	0	0	0	0	0	0
Actimicrobium	1	0	4	0	0	0
Actinacidiphila	0	0	4	1	0	1
Actinarchaeum	0	0	0	0	0	0
Actinoallomurus	1	1	3	0	0	9
Actinoalloteichus	8	1	8	0	0	3
Actinobacillus	0	0	0	1	3	0
Actinobaculum	0	1	0	0	0	2
Actinocatenispora	3	5	1	1	0	0
Actinokineospora	11	7	5	1	0	0
Actinomadura	18	24	23	3	9	1
Actinomarinicola	6	1	4	0	2	0
Actinomyces	465	307	145	1625	1398	447
Actinomycetospora	7	2	2	0	1	0
Actinoplanes	35	23	56	6	6	5
Actinopolymorpha	1	0	0	0	0	0
Actinopolyspora	1	0	0	0	1	0
Actinosynnema	1	3	0	0	0	0
Actinotalea	0	0	2	0	0	2
Actinotignum	1	1	0	3	2	1
Actinovirus	0	0	0	0	0	0
Actomonas	10	5	5	0	0	1
Acutalibacter	86	59	61	30	24	33
Acuticoccus	4	9	0	0	0	1
Adahmuvirus	0	0	0	0	0	0
Adaiavirus	0	0	0	0	0	0
Adhaeretor	1	0	0	0	0	0
Adhaeribacter	0	2	2	3	2	1
Adlercreutzia	221	38	1631	17	144	8377
Adrianbuildvirus	0	0	0	1	0	0
Advenella	9	2	3	0	1	0
Aedoeadaptatus	2	3	11	0	2	2
Aegicerativicinus	0	1	0	0	0	0
Aegirvirus	0	0	0	0	0	0
Aeoliella	0	5	0	0	0	0
Aequoribacter	0	0	0	0	0	0
Aequorivita	0	7	1	0	0	2
Aeribacillus	1	1	0	2	1	2
Aerococcus	0	2	0	3	14	3
Aeromicrobium	1	12	17	2	2	0
Aeromonas	74	49	33	3	15	5
Aerophototrophica	0	7	0	0	0	0
Aeropyrum	0	0	0	0	0	0
Aerosticca	1	0	0	0	0	0
Aerosvirus	0	0	0	0	0	0
Aestuariibaculum	0	0	0	0	0	0
Aestuariibius	0	0	1	0	0	0
Aestuariispira	1	0	0	0	0	0
Aestuariivirga	0	0	2	0	0	1
Affertcholeramvirus	0	0	0	0	0	0
Afifella	0	0	0	0	0	0
Afipia	0	6	11	0	0	0
Afonbuvirus	0	0	0	0	366	1
Agaribacterium	0	2	1	0	1	0
Agarilytica	0	0	0	0	0	0
Agarivorans	1	0	2	1	0	1
Agatevirus	0	0	0	0	0	0
Agathobacter	200	230	435	1065	11051	1543
Agathobaculum	112	111	208	33	55	394
Ageyesisatellite	0	0	0	0	0	0
Aggregatibacter	12	3	1	0	3	0
Aggregatimonas	0	2	0	0	0	0
Aghbyvirus	0	0	0	0	0	0
Aglavirus	0	0	0	0	0	0
Agmunavirus	0	0	0	0	0	0
Agnathovirus	0	0	0	0	0	0
Agreia	0	0	0	1	0	0
Agricanvirus	0	0	0	0	0	0
Agrilactobacillus	0	3	0	0	0	1
Agrilutibacter	0	1	3	0	0	0
Agrobacterium	25	24	10	6	13	14
Agrococcus	9	11	2	0	0	0
Agromyces	13	4	30	6	2	6
Agtrevirus	0	0	0	0	0	0
Aguamentivirus	0	0	0	0	0	0
Aguilavirus	0	0	0	0	0	0
Ahduovirus	0	0	0	0	0	0
Ahniella	1	0	0	0	2	0
Ahphunavirus	0	0	0	0	0	0
Ahrensia	0	0	0	0	1	0
Ahtivirus	0	0	0	0	0	0
Ailurivirus	0	0	0	0	0	0
Akanthomyces	0	0	0	0	0	0
Akihdevirus	0	0	0	0	0	0
Akiravirus	0	0	0	0	0	0
Akkermansia	3114	13033	50459	82	20	17
Akonivirus	0	0	0	0	0	0
Alachuavirus	0	0	0	0	0	0
Alasvirus	0	0	0	0	0	0
Albetovirus	0	0	0	0	0	0
Albidovulum	3	0	0	0	0	0
Alcaligenes	12	7	5	7	1	0
Alcanivorax	2	5	0	0	1	0
Alcyoneusvirus	0	0	0	0	0	0
Aldhiuvirus	0	0	0	0	0	0
Aldormivirus	0	0	0	0	0	0
Alefpapillomavirus	0	0	0	0	0	0
Alegriavirus	0	0	0	0	0	0
Alehndavirus	0	0	0	0	0	0
Alehxovirus	0	0	0	0	0	0
Aleptorquevirus	0	0	0	0	0	0
Alexandravirus	0	0	0	0	0	0
Aleyavirus	0	0	0	0	0	0
Aleybvirus	0	0	0	0	0	0
Alfamovirus	0	0	0	0	0	0
Algibacter	0	0	0	0	0	1
Algicella	0	0	0	0	0	0
Algihabitans	0	3	0	0	0	0
Algimonas	1	0	0	0	0	0
Algiphilus	0	0	16	0	0	0
Algirhabdus	2	0	0	0	0	0
Algoriphagus	0	6	4	0	6	2
Aliamphritea	3	0	0	0	0	1
Aliarcobacter	0	8	0	1	3	3
Alicycliphilus	10	4	3	0	0	0
Alicyclobacillus	7	12	19	2	1	1
Alienimonas	3	2	0	0	0	0
Aliiglaciecola	0	0	0	0	0	0
Aliinostoc	0	0	0	2	0	0
Aliirhizobium	0	0	0	0	0	1
Aliiroseovarius	20	0	1	0	1	1
Aliisedimentitalea	0	0	0	0	0	0
Aliivibrio	0	0	0	0	0	8
Alishewanella	1	0	0	0	0	0
Alisovirus	0	0	0	0	0	0
Alistipes	23725	35229	197510	15	978	3124
Alkalibacillus	0	0	0	0	0	1
Alkalibacter	14	16	3	1	0	3
Alkalibacterium	1	2	0	0	0	3
Alkalicella	0	0	0	0	1	0
Alkalicoccus	1	0	0	0	4	2
Alkalihalobacillus	0	0	0	0	1	0
Alkalihalophilus	2	1	2	0	0	1
Alkalilimnicola	0	2	2	0	0	0
Alkalimarinus	0	0	0	0	0	0
Alkaliphilus	0	9	0	1	2	4
Alkalitalea	3	1	0	0	0	0
Alkanindiges	0	0	0	0	0	0
Alkesdovirus	0	0	0	0	0	0
Allexivirus	0	0	0	0	0	0
Alloacidobacterium	0	0	0	1	2	0
Alloactinosynnema	0	0	0	0	0	0
Alloalcanivorax	4	4	1	1	4	1
Allobacillus	0	0	0	0	0	0
Allobaculum	8	2	9	1	8	5
Allobranchiibius	0	0	0	0	0	0
Allochromatium	0	0	4	0	0	0
Allocoleopsis	1	0	0	0	0	1
Allocoprobacillus	1	0	0	12	12	9
Allofrancisella	0	3	0	0	0	0
Allohahella	0	0	0	0	0	0
Alloiococcus	0	0	0	0	3	0
Allokutzneria	2	0	3	0	0	0
Allomeiothermus	0	0	0	0	0	0
Allomuricauda	0	0	0	0	0	0
