Genus	C1	C2	C3	Y1	Y2	Y3
Blautia	428	627	953	299890	129583	157478
Alistipes	21097	31779	181516	12	870	2818
Bifidobacterium	129	110	539	20056	281	145535
Mediterraneibacter	585	1051	659	60345	60552	29846
Anaerobutyricum	14	9	73	43414	47645	52235
Dorea	59	27	263	30449	77339	14163
Anaerostipes	20	19	51	89409	17460	7026
Klebsiella	50200	51247	186	2	20	126
Comamonas	80133	16	21441	2	4	3
Collinsella	1607	156	4507	2777	51179	33242
Bacteroides	3446	12859	47722	419	7128	10696
Akkermansia	2582	12878	49951	81	19	14
Faecalibacillus	3	17	53	31800	8526	15744
Faecalibacterium	5801	13458	7171	2347	13124	12701
Vescimonas	18952	6915	17029	135	576	236
Escherichia	2680	155	32931	19	84	1479
Streptococcus	67	55	42	15349	16530	5225
Coprococcus	177	107	185	2153	32171	1985
Ruthenibacterium	21334	6972	3430	28	433	901
Roseburia	515	3346	1294	2403	6702	15025
Phocaeicola	207	16541	7324	152	1728	1684
Parabacteroides	455	5597	13889	126	965	5569
Pyramidobacter	37	19968	21	0	3	0
Desulfovibrio	8798	3585	4772	1	561	331
Eggerthella	951	37	254	6025	477	7765
Ruminococcus	216	175	5054	2520	4177	1594
Agathobacter	136	159	314	953	9513	1245
Adlercreutzia	164	21	1398	12	80	7617
Cloacibacillus	838	7410	832	1	8	1
Clostridium	577	458	684	745	4960	848
Intestinimonas	3410	2406	1374	39	68	59
Enterocloster	587	415	3243	910	406	1570
Eubacterium	201	171	206	1157	2186	2020
Flavonifractor	1871	1388	1702	198	225	416
Clostridioides	1092	1917	168	1109	408	948
Hungatella	3935	158	268	213	177	840
Lachnoclostridium	96	96	417	1116	1214	2352
Barnesiella	120	61	3141	0	706	503
Carjivirus	0	0	0	0	0	4231
Homo	150	110	35	984	1247	1601
Faecalimonas	0	19	4	3307	257	358
Romboutsia	6	15	7	1408	91	2389
Oscillibacter	1714	1126	736	37	163	89
Odoribacter	83	2966	501	0	45	94
Wujia	31	26	397	108	2805	249
Schaalia	266	26	199	1676	940	462
Simiaoa	100	132	144	510	1175	1502
Sellimonas	230	133	359	698	983	1036
Subdoligranulum	558	273	900	455	428	694
Anaerotruncus	202	763	1780	78	175	276
Actinomyces	248	172	102	1211	1043	324
Dysosmobacter	1036	812	733	93	132	171
Bilophila	763	801	1139	19	85	166
Segatella	21	673	20	3	2142	1
Lachnospira	371	9	53	360	308	1454
Paraprevotella	13	30	36	1	2450	4
Pusillibacter	1087	562	229	43	59	91
Limosilactobacillus	14	185	4	106	1665	20
Raoultibacter	156	36	163	33	1212	162
Enterobacter	763	769	130	2	7	57
Lawsonibacter	668	514	377	7	55	94
Megasphaera	23	26	1109	18	24	344
unclassified	146	201	161	384	333	278
Streptomyces	436	310	400	90	73	109
Flintibacter	477	332	267	139	91	109
Pseudoflavonifractor	609	328	325	9	46	61
Kluyvera	14	4	1317	0	9	13
Gordonibacter	128	18	85	86	186	852
Weissella	1	10	1	13	73	1219
Olsenella	142	48	144	226	338	361
Ligilactobacillus	18	35	14	1062	49	65
Butyricimonas	21	373	552	1	98	174
Thomasclavelia	14	47	7	256	213	636
Phascolarctobacterium	54	49	401	79	522	39
Eisenbergiella	391	167	161	121	117	171
Christensenella	230	224	269	122	70	61
Owariibacterium	284	216	206	45	90	70
Wansuia	135	13	57	139	354	161
Methanobrevibacter	208	607	14	1	7	1
Diaphorobacter	17	3	778	0	0	0
