Genus	C2	C3	Y1	Y2	Y3
Blautia	627	953	299890	129583	157478
Alistipes	31779	181516	12	870	2818
Bifidobacterium	110	539	20056	281	145535
Mediterraneibacter	1051	659	60345	60552	29846
Anaerobutyricum	9	73	43414	47645	52235
Dorea	27	263	30449	77339	14163
Anaerostipes	19	51	89409	17460	7026
Collinsella	156	4507	2777	51179	33242
Bacteroides	12859	47722	419	7128	10696
Akkermansia	12878	49951	81	19	14
Faecalibacillus	17	53	31800	8526	15744
Klebsiella	51247	186	2	20	126
Faecalibacterium	13458	7171	2347	13124	12701
Streptococcus	55	42	15349	16530	5225
Coprococcus	107	185	2153	32171	1985
Escherichia	155	32931	19	84	1479
Roseburia	3346	1294	2403	6702	15025
Phocaeicola	16541	7324	152	1728	1684
Parabacteroides	5597	13889	126	965	5569
Vescimonas	6915	17029	135	576	236
Comamonas	16	21441	2	4	3
Pyramidobacter	19968	21	0	3	0
Eggerthella	37	254	6025	477	7765
Ruminococcus	175	5054	2520	4177	1594
Agathobacter	159	314	953	9513	1245
Ruthenibacterium	6972	3430	28	433	901
Desulfovibrio	3585	4772	1	561	331
Adlercreutzia	21	1398	12	80	7617
Cloacibacillus	7410	832	1	8	1
Clostridium	458	684	745	4960	848
Enterocloster	415	3243	910	406	1570
Eubacterium	171	206	1157	2186	2020
Lachnoclostridium	96	417	1116	1214	2352
Clostridioides	1917	168	1109	408	948
Barnesiella	61	3141	0	706	503
Carjivirus	0	0	0	0	4231
Homo	110	35	984	1247	1601
Intestinimonas	2406	1374	39	68	59
Faecalimonas	19	4	3307	257	358
Flavonifractor	1388	1702	198	225	416
Romboutsia	15	7	1408	91	2389
Odoribacter	2966	501	0	45	94
Wujia	26	397	108	2805	249
Simiaoa	132	144	510	1175	1502
Schaalia	26	199	1676	940	462
Sellimonas	133	359	698	983	1036
Anaerotruncus	763	1780	78	175	276
Actinomyces	172	102	1211	1043	324
Segatella	673	20	3	2142	1
Subdoligranulum	273	900	455	428	694
Paraprevotella	30	36	1	2450	4
Bilophila	801	1139	19	85	166
Lachnospira	9	53	360	308	1454
Oscillibacter	1126	736	37	163	89
Limosilactobacillus	185	4	106	1665	20
Dysosmobacter	812	733	93	132	171
Hungatella	158	268	213	177	840
Raoultibacter	36	163	33	1212	162
Megasphaera	26	1109	18	24	344
unclassified	201	161	384	333	278
Kluyvera	4	1317	0	9	13
Weissella	10	1	13	73	1219
Gordonibacter	18	85	86	186	852
Ligilactobacillus	35	14	1062	49	65
Butyricimonas	373	552	1	98	174
Thomasclavelia	47	7	256	213	636
Olsenella	48	144	226	338	361
Phascolarctobacterium	49	401	79	522	39
Lawsonibacter	514	377	7	55	94
Pusillibacter	562	229	43	59	91
Streptomyces	310	400	90	73	109
Enterobacter	769	130	2	7	57
Flintibacter	332	267	139	91	109
Diaphorobacter	3	778	0	0	0
Pseudoflavonifractor	328	325	9	46	61
Christensenella	224	269	122	70	61
Eisenbergiella	167	161	121	117	171
Campylobacter	94	13	375	121	121
Wansuia	13	57	139	354	161
Arachnia	9	6	488	115	103
Gemella	9	1	242	182	237
Burzaovirus	665	0	0	0	0
Paenibacillus	172	169	60	135	95
Methanobrevibacter	607	14	1	7	1
Owariibacterium	216	206	45	90	70
Lactococcus	14	1	140	94	375
Corynebacterium	104	79	128	179	127
Granulicatella	0	0	371	70	147
Enterococcus	71	17	241	149	99
Amedibacillus	170	126	77	70	133
Lacrimispora	40	14	125	217	163
Mogibacterium	8	10	217	258	47
Butyricicoccus	43	102	174	57	138
Propionibacterium	12	61	103	310	12
Slackia	54	80	22	50	240
Amedibacterium	5	5	209	13	201
Marvinbryantia	26	41	105	135	107
Turicibacter	2	6	368	1	36
Agathobaculum	74	153	32	31	122
Longicatena	0	2	10	363	16
Oxalobacter	3	232	7	133	8
Butyrivibrio	18	21	77	159	104
Claveliimonas	17	22	110	156	49
Holdemania	10	217	22	51	50
Rothia	9	22	198	38	75
Lactonifactor	9	10	24	175	103
Parolsenella	11	39	83	56	123
Catenibacterium	4	4	133	56	112
Candidatus_Nanosynbacter	1	14	141	83	69
Lactiplantibacillus	0	3	2	15	281
Megamonas	15	2	4	7	273
Anaerocolumna	13	9	64	155	53
Otoolea	21	52	40	56	122
Enorma	5	54	122	40	64
Pseudomonas	121	85	24	23	24
Microbacterium	168	51	10	23	11
Afonbuvirus	0	0	0	261	0
Intestinibacter	15	14	106	98	28
Eshraghiella	24	25	40	97	68
Mailhella	94	152	3	1	4
Thermophilibacter	33	57	71	21	66
Parvimonas	14	4	12	25	187
Massilimicrobiota	0	0	21	43	170
Selenomonas	75	110	11	20	12
Solibaculum	67	77	20	37	20
