jaccard_binary	A17	B22	EA48	EB17	EB01	YB31	EB13	EB02	Z16	P22	YB54	P01	M01	G01	YA23	YB56	YA04	YB43
A17	0	0.424	0.446	0.459	0.459	0.471	0.463	0.479	0.463	0.431	0.478	0.448	0.449	0.461	0.493	0.505	0.580	0.662
B22	0.424	0	0.247	0.290	0.308	0.311	0.309	0.325	0.317	0.303	0.365	0.322	0.329	0.373	0.379	0.422	0.530	0.655
EA48	0.446	0.247	0	0.224	0.245	0.250	0.250	0.265	0.288	0.306	0.315	0.322	0.335	0.389	0.353	0.390	0.524	0.652
EB17	0.459	0.290	0.224	0	0.277	0.275	0.271	0.269	0.315	0.345	0.339	0.352	0.374	0.417	0.355	0.395	0.516	0.638
EB01	0.459	0.308	0.245	0.277	0	0.303	0.287	0.308	0.327	0.356	0.336	0.375	0.374	0.424	0.374	0.404	0.512	0.641
YB31	0.471	0.311	0.250	0.275	0.303	0	0.292	0.300	0.326	0.363	0.333	0.380	0.388	0.429	0.349	0.377	0.496	0.623
EB13	0.463	0.309	0.250	0.271	0.287	0.292	0	0.290	0.334	0.362	0.335	0.376	0.385	0.428	0.360	0.397	0.519	0.628
EB02	0.479	0.325	0.265	0.269	0.308	0.300	0.290	0	0.330	0.375	0.349	0.378	0.392	0.440	0.367	0.409	0.512	0.625
Z16	0.463	0.317	0.288	0.315	0.327	0.326	0.334	0.330	0	0.356	0.376	0.362	0.376	0.417	0.394	0.421	0.525	0.646
P22	0.431	0.303	0.306	0.345	0.356	0.363	0.362	0.375	0.356	0	0.407	0.317	0.330	0.344	0.424	0.453	0.560	0.682
YB54	0.478	0.365	0.315	0.339	0.336	0.333	0.335	0.349	0.376	0.407	0	0.424	0.414	0.468	0.387	0.395	0.487	0.616
P01	0.448	0.322	0.322	0.352	0.375	0.380	0.376	0.378	0.362	0.317	0.424	0	0.344	0.371	0.437	0.462	0.576	0.686
M01	0.449	0.329	0.335	0.374	0.374	0.388	0.385	0.392	0.376	0.330	0.414	0.344	0	0.370	0.432	0.459	0.562	0.675
G01	0.461	0.373	0.389	0.417	0.424	0.429	0.428	0.440	0.417	0.344	0.468	0.371	0.370	0	0.460	0.484	0.583	0.690
YA23	0.493	0.379	0.353	0.355	0.374	0.349	0.360	0.367	0.394	0.424	0.387	0.437	0.432	0.460	0	0.410	0.494	0.602
YB56	0.505	0.422	0.390	0.395	0.404	0.377	0.397	0.409	0.421	0.453	0.395	0.462	0.459	0.484	0.410	0	0.488	0.599
YA04	0.580	0.530	0.524	0.516	0.512	0.496	0.519	0.512	0.525	0.560	0.487	0.576	0.562	0.583	0.494	0.488	0	0.598
YB43	0.662	0.655	0.652	0.638	0.641	0.623	0.628	0.625	0.646	0.682	0.616	0.686	0.675	0.690	0.602	0.599	0.598	0
