Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
bin.1	96.9	0.03	Gradient Boost (General Model)	11	0.902	19045	309.5536912751678	1838096	0.45	1788	None
bin.10	88.6	1.9	Neural Network (Specific Model)	11	0.89	9408	294.3673381911702	2310337	0.42	2333	None
bin.11	89.45	0.73	Neural Network (Specific Model)	11	0.922	7360	307.84004474272933	2680842	0.44	2682	None
bin.12	81.73	0.77	Neural Network (Specific Model)	11	0.905	8205	365.34761904761905	2541341	0.47	2100	None
bin.13	94.73	2.01	Neural Network (Specific Model)	11	0.89	11433	296.27548262548265	5166160	0.58	5180	None
bin.14	99.61	1.43	Neural Network (Specific Model)	11	0.893	7484	284.59815950920245	1866489	0.33	1956	None
bin.15	91.03	3.85	Neural Network (Specific Model)	11	0.904	15724	309.2480499219969	2626593	0.42	2564	None
bin.16	74.44	3.64	Neural Network (Specific Model)	11	0.89	6227	292.7427807486631	1843195	0.61	1870	None
bin.17	99.15	2.32	Gradient Boost (General Model)	11	0.877	18361	306.01361256544504	1996783	0.41	1910	None
bin.18	94.93	8.59	Neural Network (Specific Model)	11	0.902	7421	321.2539247445801	4281278	0.42	4013	None
bin.19	83.63	1.37	Neural Network (Specific Model)	11	0.913	5517	299.1063432835821	2104083	0.43	2144	None
bin.2	90.52	1.37	Neural Network (Specific Model)	11	0.862	23123	343.9888268156425	1927218	0.63	1611	None
bin.20	97.94	1.18	Neural Network (Specific Model)	11	0.873	28341	280.23366555924696	1735923	0.38	1806	None
bin.21	88.13	1.91	Neural Network (Specific Model)	11	0.884	16072	336.45958279009125	1748860	0.6	1534	None
bin.22	97.55	1.96	Gradient Boost (General Model)	11	0.915	8141	307.19649122807016	1718193	0.55	1710	None
bin.23	73.3	0.4	Neural Network (Specific Model)	11	0.897	3543	291.323055360897	1387888	0.37	1427	None
bin.24	95.6	2.69	Gradient Boost (General Model)	11	0.898	5982	289.4051240992794	2411129	0.45	2498	None
bin.25	66.32	2.79	Neural Network (Specific Model)	11	0.886	4583	268.93591905564926	1617452	0.59	1779	None
bin.26	98.37	2.72	Gradient Boost (General Model)	11	0.92	17927	321.41314758380497	2402432	0.41	2297	None
bin.27	85.81	2.95	Gradient Boost (General Model)	11	0.894	8608	308.4393558127831	2053189	0.52	1987	None
bin.28	60.41	1.03	Neural Network (Specific Model)	11	0.901	2919	266.679496669134	1197605	0.51	1351	None
bin.29	64.33	1.4	Neural Network (Specific Model)	11	0.883	3058	282.7668789808917	1506857	0.56	1570	None
bin.3	70.08	1.11	Gradient Boost (General Model)	11	0.91	3194	285.46116797110176	1561113	0.6	1661	None
bin.30	73.79	1.06	Gradient Boost (General Model)	11	0.877	3763	292.6010028653295	1394624	0.5	1396	None
bin.31	68.34	0.22	Neural Network (Specific Model)	11	0.922	3656	324.22424824056304	3293514	0.44	3126	None
bin.32	98.63	0.0	Gradient Boost (General Model)	11	0.876	17738	323.46992110453647	2241503	0.61	2028	None
bin.33	55.38	1.1	Gradient Boost (General Model)	11	0.936	2650	268.14864172219376	1672739	0.49	1951	None
bin.34	59.32	1.83	Neural Network (Specific Model)	11	0.908	7062	316.5812431842966	1915893	0.47	1834	None
bin.35	83.99	0.02	Gradient Boost (General Model)	11	0.905	4394	293.3018539976825	1674872	0.54	1726	None
bin.36	91.12	5.11	Neural Network (Specific Model)	11	0.906	12278	296.6221486387049	2665586	0.38	2718	None
bin.37	60.64	0.21	Neural Network (Specific Model)	11	0.898	3039	299.58501291989666	1933047	0.63	1935	None
bin.38	87.07	3.5	Gradient Boost (General Model)	11	0.918	3824	308.00046772684755	2148011	0.42	2138	None
bin.39	52.41	0.66	Neural Network (Specific Model)	11	0.893	4199	285.81684081130913	1558313	0.46	1627	None
bin.4	88.9	1.25	Gradient Boost (General Model)	11	0.892	5817	280.4031180400891	1691055	0.6	1796	None
bin.40	91.19	3.98	Neural Network (Specific Model)	11	0.887	8450	296.6372549019608	2248019	0.41	2244	None
bin.41	82.05	4.64	Neural Network (Specific Model)	11	0.872	6875	301.55411844792377	3044332	0.43	2938	None
bin.42	90.78	4.77	Neural Network (Specific Model)	11	0.891	6570	325.32779906343126	2570716	0.59	2349	None
bin.43	98.25	1.55	Neural Network (Specific Model)	11	0.916	3771	290.4982363315697	2155224	0.33	2268	None
bin.44	82.68	5.08	Neural Network (Specific Model)	11	0.862	6133	271.821554770318	3206022	0.45	3396	None
bin.45	50.19	0.95	Gradient Boost (General Model)	11	0.929	3254	276.99853587115666	1220131	0.54	1366	None
bin.46	87.58	3.55	Gradient Boost (General Model)	11	0.889	4396	298.9419501133787	2222015	0.45	2205	None
bin.47	90.94	2.11	Neural Network (Specific Model)	11	0.886	7443	323.0690690690691	2546750	0.36	2331	None
bin.48	96.8	4.83	Neural Network (Specific Model)	11	0.884	9988	295.3403822692151	2461216	0.43	2459	None
bin.49	63.5	4.14	Neural Network (Specific Model)	11	0.876	3960	263.6407322654462	1576008	0.59	1748	None
bin.5	79.89	2.02	Neural Network (Specific Model)	11	0.907	3917	292.96237337192474	2005132	0.5	2073	None
bin.50	86.99	3.15	Neural Network (Specific Model)	11	0.904	6389	318.0602357049323	2414313	0.45	2291	None
bin.51	99.95	0.26	Neural Network (Specific Model)	11	0.856	45940	286.6674418604651	3017068	0.46	3010	None
bin.52	94.0	2.69	Neural Network (Specific Model)	11	0.883	8676	316.34699548454324	3089136	0.65	2879	None
bin.53	90.57	4.35	Gradient Boost (General Model)	11	0.89	3240	251.77867078825346	2736243	0.47	3235	None
bin.54	90.62	0.47	Neural Network (Specific Model)	11	0.921	7800	341.8227194492255	3874363	0.46	3486	None
bin.55	99.75	0.08	Neural Network (Specific Model)	11	0.862	20123	312.4838035527691	2078318	0.55	1914	None
bin.56	86.0	3.53	Neural Network (Specific Model)	11	0.879	18476	341.0495552731893	1828621	0.57	1574	None
bin.57	66.5	9.03	Neural Network (Specific Model)	11	0.917	7081	353.32153011113985	4465828	0.42	3869	None
bin.58	88.46	2.23	Neural Network (Specific Model)	11	0.905	12869	351.89654088050315	3703834	0.46	3180	None
bin.59	85.47	3.16	Neural Network (Specific Model)	11	0.914	6375	328.9224742268041	2616291	0.6	2425	None
bin.6	48.94	2.41	Neural Network (Specific Model)	11	0.92	4172	297.463768115942	1068492	0.43	1104	None
bin.60	79.64	5.83	Neural Network (Specific Model)	11	0.922	3558	294.28732747804264	2285782	0.43	2391	None
bin.61	61.81	1.17	Gradient Boost (General Model)	11	0.862	4470	341.6176911544228	1583700	0.53	1334	None
bin.62	62.97	2.46	Gradient Boost (General Model)	11	0.894	3742	300.20202702702704	1488142	0.5	1480	None
bin.63	63.77	0.93	Gradient Boost (General Model)	11	0.911	3153	289.4156736938588	2075296	0.45	2182	None
bin.64	67.94	1.47	Gradient Boost (General Model)	11	0.908	2933	282.77170993733216	1041190	0.47	1117	None
bin.65	67.11	2.08	Gradient Boost (General Model)	11	0.897	4674	287.61936437546194	1298852	0.58	1353	None
bin.66	95.13	4.41	Neural Network (Specific Model)	11	0.879	17927	331.98414434117007	2070629	0.6	1829	None
bin.67	90.9	7.8	Neural Network (Specific Model)	11	0.878	6831	293.8911539861667	2754656	0.6	2747	None
bin.68	78.67	5.64	Neural Network (Specific Model)	11	0.878	4391	260.6883656509695	1926849	0.6	2166	None
bin.69	75.43	2.04	Neural Network (Specific Model)	11	0.927	5122	343.1094444444444	1996314	0.61	1800	None
bin.7	89.6	4.35	Neural Network (Specific Model)	11	0.911	21144	356.36780344701134	3196790	0.47	2727	None
bin.70	59.51	2.77	Neural Network (Specific Model)	11	0.92	3540	327.53494202444375	3402525	0.44	3191	None
bin.71	66.11	0.79	Gradient Boost (General Model)	11	0.916	2995	278.9031165311653	1346039	0.42	1476	None
bin.72	82.32	0.61	Neural Network (Specific Model)	11	0.902	4553	293.3256048387097	1932079	0.46	1984	None
bin.73	89.32	1.51	Gradient Boost (General Model)	11	0.893	4976	296.57094211123723	2627429	0.59	2643	None
bin.74	61.5	2.39	Gradient Boost (General Model)	11	0.903	3094	263.8360842344906	1537419	0.62	1757	None
bin.75	84.43	0.95	Neural Network (Specific Model)	11	0.915	13441	299.32050721469176	2240777	0.44	2287	None
bin.76	81.98	2.44	Neural Network (Specific Model)	11	0.925	3731	293.9730941704036	1698042	0.38	1784	None
bin.77	86.16	0.0	Neural Network (Specific Model)	11	0.893	29714	336.092118226601	2287914	0.42	2030	None
bin.78	88.68	5.1	Gradient Boost (General Model)	11	0.895	19534	303.1308121512709	1637144	0.63	1613	None
bin.79	77.28	8.02	Neural Network (Specific Model)	11	0.881	6650	284.7275064267352	1882348	0.58	1945	None
bin.8	99.47	0.7	Neural Network (Specific Model)	11	0.904	16026	304.1547450424929	2842974	0.44	2824	None
bin.80	73.52	0.28	Neural Network (Specific Model)	11	0.916	4032	321.84558823529414	1859413	0.46	1768	None
bin.81	52.34	0.6	Neural Network (Specific Model)	11	0.89	3321	292.21305841924396	1144833	0.61	1164	None
bin.82	58.17	0.88	Gradient Boost (General Model)	11	0.915	3239	272.09622238061297	1250012	0.62	1403	None
bin.83	60.24	1.98	Neural Network (Specific Model)	11	0.921	4617	306.10933503836316	1557278	0.45	1564	None
bin.84	91.82	1.11	Gradient Boost (General Model)	11	0.92	4854	305.39692701664535	1552055	0.39	1562	None
bin.85	83.09	5.4	Neural Network (Specific Model)	11	0.894	5125	287.79915433403806	2737878	0.42	2838	None
bin.86	95.16	4.65	Gradient Boost (General Model)	11	0.889	11326	307.95594347464674	2496584	0.49	2406	None
bin.87	80.64	2.59	Gradient Boost (General Model)	11	0.87	3354	260.18616422947133	1593594	0.56	1778	None
bin.88	81.72	7.24	Neural Network (Specific Model)	11	0.863	8151	290.9407519939233	2659432	0.42	2633	None
bin.89	50.19	2.08	Neural Network (Specific Model)	11	0.922	2963	284.4094182825485	1666617	0.63	1805	None
bin.9	74.91	1.3	Gradient Boost (General Model)	11	0.914	3962	292.0759431651151	1953699	0.48	2041	None
bin.90	91.71	7.72	Neural Network (Specific Model)	11	0.892	7620	281.23805309734513	4266480	0.51	4520	None
bin.91	85.04	2.28	Neural Network (Specific Model)	11	0.883	11065	340.6301642608263	2321717	0.48	2009	None
bin.92	65.34	1.99	Gradient Boost (General Model)	11	0.926	2829	284.2418162618796	1740942	0.33	1894	None
bin.93	88.2	1.31	Neural Network (Specific Model)	11	0.919	6650	323.5568123393316	2052439	0.39	1945	None
bin.94	89.75	0.05	Neural Network (Specific Model)	11	0.899	24145	358.9064171122995	3131643	0.42	2618	None
bin.95	79.98	6.1	Neural Network (Specific Model)	11	0.893	5068	286.9395929087328	2930107	0.45	3046	None
bin.96	86.52	0.6	Neural Network (Specific Model)	11	0.889	16266	362.8241758241758	2337876	0.51	1911	None
bin.97	74.86	9.09	Neural Network (Specific Model)	11	0.925	1937	260.84733116510426	4414787	0.51	5227	None
