Name	Completeness	Contamination	Genome_Size	Domain	Phylum	Class	Order	Family	Genus	Species
bin.1	96.9	0.03	1838096	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Fimenecus	Fimenecus_sp000432435
bin.10	88.6	1.9	2310337	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter_rectalis
bin.11	89.45	0.73	2680842	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia_sp900541955
bin.12	81.73	0.77	2541341	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_copri_A
bin.13	94.73	2.01	5166160	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_variicola
bin.14	99.61	1.43	1866489	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_salivarius
bin.15	91.03	3.85	2626593	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A_obeum
bin.16	74.44	3.64	1843195	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_sp900539945
bin.17	99.15	2.32	1996783	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E_bromii_B
bin.18	94.93	8.59	4281278	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_vulgatus
bin.19	83.63	1.37	2104083	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas_umbilicata
bin.2	90.52	1.37	1927218	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_bifidum
bin.20	97.94	1.18	1735923	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_lutetiensis
bin.21	88.13	1.91	1748860	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_adolescentis
bin.22	97.55	1.96	1718193	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217_sp000436335
bin.23	73.3	0.4	1387888	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Pseudoruminococcus	Pseudoruminococcus_massiliensis
bin.24	95.6	2.69	2411129	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium_faecium
bin.25	66.32	2.79	1617452	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_duncaniae
bin.26	98.37	2.72	2402432	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas_phoceensis
bin.27	85.81	2.95	2053189	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177_sp003538135
bin.28	60.41	1.03	1197605	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_intestini
bin.29	64.33	1.4	1506857	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_A	Sutterella	Sutterella_wadsworthensis
bin.3	70.08	1.11	1561113	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger_sp900540595
bin.30	73.79	1.06	1394624	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	PeH17	PeH17_sp000435055
bin.31	68.34	0.22	3293514	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_cellulosilyticus
bin.32	98.63	0.0	2241503	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia_sp003525905
bin.33	55.38	1.1	1672739	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_AP	Clostridium_AP_sp000509125
bin.34	59.32	1.83	1915893	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_uniformis
bin.35	83.99	0.02	1674872	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1417	UBA1417_sp003531055
