# Pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
UNMAPPED	0.454513	0.502916	0.566375	0.363187	0.477632	0.397581	0.58468	0.570336	0.351334	0.299129	0.343306	0.425247
UNINTEGRATED	0.517032	0.482495	0.417282	0.586196	0.489163	0.564495	0.395658	0.406409	0.603215	0.640836	0.603639	0.536744
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.000141159	0	0	0	0	0	0.000139076	0	0.000284856	0.000347455	0.000104993	0.00029482
ANAEROFRUCAT-PWY: homolactic fermentation	0.000208318	0	0.000389085	0.000209365	0.000281005	0.00016298	0	0.000143214	0.00023058	0.000281444	0.000208359	0.000260879
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000545707	0.000200919	0.000373339	0.000457817	0.000412271	0.000297572	0	0.000281318	0.000533395	0.000409094	0.000493216	0.000374566
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	0.000237783	0	0.000286988	0	0	0	0.000281984	0.000161556	0.00043498	0.000244727	0.000162912
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	0	0	0.000225127	0	0	0	0	0.000183037	0.000447613	8.42648e-05	0
ARO-PWY: chorismate biosynthesis I	0	9.73662e-05	0	0.000334701	0.000319048	0.000458613	0.000163507	0.000330709	0.000509298	0.000613525	0.00053685	0.000258529
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	5.74968e-05	5.40711e-05	0.000198042	0.000183625	0	0.000497887	6.04293e-05	0.000188702	0.000221061	0.000334363	0.00036043	0.000211542
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	0.000113359	0.000184768	0	0	0	6.51031e-05	0.000154626	0	0.000202
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.000494951	0.000291322	0.000497107	0.000653208	0.000519281	0.000375283	0.00033639	0.000315479	0.000438817	0.000567958	0.000667292	0.000304524
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.000550552	0	0	0.000493574	0.000466026	0.000298686	0.000230578	0.000168803	0.000181108	0.000391279	0.000217229	0.000384244
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.000480227	0.000163915	0.000356159	0.000513131	0.000465772	0.000645415	0.000418026	0.000660702	0.000583931	0.000604168	0.000713585	0.00040887
COA-PWY: coenzyme A biosynthesis I	0.000348159	0.000199121	0	0.000139155	0.000426863	0.000645415	0.000263239	0.000578683	0.000128908	0.000348606	9.67864e-05	0.000240166
