SampleID	Group	Description
SRS011084	Stool	HMP
SRS011086	Tongue_dorsum	HMP
SRS011090	Buccal_mucosa	HMP
SRS011098	Supragingival_plaque	HMP
SRS011111	Posterior_fornix	HMP
SRS011115	Tongue_dorsum	HMP
SRS011126	Supragingival_plaque	HMP
SRS011132	Anterior_nares	HMP
SRS011134	Stool	HMP
SRS011140	Tongue_dorsum	HMP
SRS011144	Buccal_mucosa	HMP
SRS011152	Supragingival_plaque	HMP
SRS011239	Stool	HMP
SRS011243	Tongue_dorsum	HMP
SRS011247	Buccal_mucosa	HMP
SRS011255	Supragingival_plaque	HMP
SRS011263	Anterior_nares	HMP
SRS011269	Posterior_fornix	HMP
SRS011302	Stool	HMP
SRS011306	Tongue_dorsum	HMP
SRS011310	Buccal_mucosa	HMP
SRS011343	Supragingival_plaque	HMP
SRS011355	Posterior_fornix	HMP
SRS011397	Anterior_nares	HMP
SRS011405	Stool	HMP
SRS011584	Posterior_fornix	HMP
SRS012273	Stool	HMP
SRS012279	Tongue_dorsum	HMP
SRS012281	Buccal_mucosa	HMP
SRS012285	Supragingival_plaque	HMP
SRS012291	Anterior_nares	HMP
SRS012294	Posterior_fornix	HMP
SRS012663	Anterior_nares	HMP
SRS012902	Stool	HMP
SRS013155	Anterior_nares	HMP
SRS013158	Stool	HMP
SRS013164	Tongue_dorsum	HMP
SRS013170	Supragingival_plaque	HMP
SRS013215	Stool	HMP
SRS013234	Tongue_dorsum	HMP
SRS013239	Buccal_mucosa	HMP
SRS013252	Supragingival_plaque	HMP
SRS013269	Anterior_nares	HMP
SRS013476	Stool	HMP
SRS013502	Tongue_dorsum	HMP
SRS013506	Buccal_mucosa	HMP
SRS013521	Stool	HMP
SRS013533	Supragingival_plaque	HMP
SRS013542	Posterior_fornix	HMP
SRS013687	Stool	HMP
SRS013705	Tongue_dorsum	HMP
SRS013711	Buccal_mucosa	HMP
SRS013723	Supragingival_plaque	HMP
SRS013800	Stool	HMP
SRS013818	Tongue_dorsum	HMP
SRS013825	Buccal_mucosa	HMP
SRS013836	Supragingival_plaque	HMP
SRS013876	Anterior_nares	HMP
SRS013879	Tongue_dorsum	HMP
SRS013881	Buccal_mucosa	HMP
SRS013945	Buccal_mucosa	HMP
SRS013949	Supragingival_plaque	HMP
SRS013951	Stool	HMP
SRS013956	Anterior_nares	HMP
SRS014124	Tongue_dorsum	HMP
SRS014126	Buccal_mucosa	HMP
SRS014235	Stool	HMP
SRS014271	Tongue_dorsum	HMP
SRS014287	Stool	HMP
SRS014313	Stool	HMP
SRS014343	Posterior_fornix	HMP
SRS014459	Stool	HMP
SRS014464	Anterior_nares	HMP
SRS014470	Tongue_dorsum	HMP
SRS014472	Buccal_mucosa	HMP
SRS014476	Supragingival_plaque	HMP
SRS014494	Posterior_fornix	HMP
SRS014573	Tongue_dorsum	HMP
SRS014575	Buccal_mucosa	HMP
SRS014578	Supragingival_plaque	HMP
SRS014613	Stool	HMP
SRS014629	Posterior_fornix	HMP
SRS014682	Anterior_nares	HMP
SRS014683	Stool	HMP
SRS014684	Tongue_dorsum	HMP
SRS014686	Buccal_mucosa	HMP
SRS014690	Supragingival_plaque	HMP
SRS014888	Tongue_dorsum	HMP
SRS014890	Buccal_mucosa	HMP
SRS014894	Supragingival_plaque	HMP
SRS014901	Anterior_nares	HMP
SRS014923	Stool	HMP
SRS014979	Stool	HMP
SRS015038	Tongue_dorsum	HMP
SRS015040	Buccal_mucosa	HMP
SRS015044	Supragingival_plaque	HMP
SRS015051	Anterior_nares	HMP
SRS015054	Posterior_fornix	HMP
SRS015133	Stool	HMP
SRS015154	Buccal_mucosa	HMP
SRS015158	Supragingival_plaque	HMP
SRS015168	Posterior_fornix	HMP
SRS015174	Tongue_dorsum	HMP
SRS015190	Stool	HMP
SRS015209	Tongue_dorsum	HMP
SRS015215	Supragingival_plaque	HMP
SRS015217	Stool	HMP
SRS015225	Posterior_fornix	HMP
SRS015264	Stool	HMP
SRS015269	Anterior_nares	HMP
SRS015272	Tongue_dorsum	HMP
SRS015274	Buccal_mucosa	HMP
SRS015278	Supragingival_plaque	HMP
SRS015369	Stool	HMP
SRS015374	Buccal_mucosa	HMP
SRS015378	Supragingival_plaque	HMP
SRS015395	Tongue_dorsum	HMP
SRS015425	Posterior_fornix	HMP
SRS015430	Anterior_nares	HMP
SRS015431	Stool	HMP
SRS015434	Tongue_dorsum	HMP
SRS015436	Buccal_mucosa	HMP
SRS015440	Supragingival_plaque	HMP
SRS015540	Buccal_mucosa	HMP
SRS015574	Supragingival_plaque	HMP
SRS015578	Stool	HMP
SRS015640	Anterior_nares	HMP
SRS015644	Tongue_dorsum	HMP
SRS015646	Buccal_mucosa	HMP
SRS015650	Supragingival_plaque	HMP
SRS015663	Stool	HMP
SRS015745	Buccal_mucosa	HMP
SRS015752	Anterior_nares	HMP
SRS015755	Supragingival_plaque	HMP
SRS015762	Tongue_dorsum	HMP
SRS015782	Stool	HMP
SRS015890	Stool	HMP
SRS015893	Tongue_dorsum	HMP
SRS015895	Buccal_mucosa	HMP
SRS015899	Supragingival_plaque	HMP
SRS015937	Anterior_nares	HMP
SRS015941	Tongue_dorsum	HMP
SRS015960	Stool	HMP
SRS015985	Buccal_mucosa	HMP
SRS015989	Supragingival_plaque	HMP
SRS015996	Anterior_nares	HMP
SRS016002	Tongue_dorsum	HMP
SRS016018	Stool	HMP
SRS016033	Anterior_nares	HMP
SRS016037	Tongue_dorsum	HMP
SRS016039	Buccal_mucosa	HMP
SRS016043	Supragingival_plaque	HMP
SRS016056	Stool	HMP
SRS016086	Tongue_dorsum	HMP
SRS016092	Supragingival_plaque	HMP
SRS016095	Stool	HMP
SRS016111	Posterior_fornix	HMP
SRS016188	Anterior_nares	HMP
SRS016191	Posterior_fornix	HMP
SRS016196	Buccal_mucosa	HMP
SRS016200	Supragingival_plaque	HMP
SRS016203	Stool	HMP
SRS016225	Tongue_dorsum	HMP
SRS016267	Stool	HMP
SRS016292	Anterior_nares	HMP
SRS016297	Buccal_mucosa	HMP
SRS016319	Tongue_dorsum	HMP
SRS016331	Supragingival_plaque	HMP
SRS016335	Stool	HMP
SRS016342	Tongue_dorsum	HMP
SRS016349	Buccal_mucosa	HMP
SRS016360	Supragingival_plaque	HMP
SRS016434	Anterior_nares	HMP
SRS016495	Stool	HMP
SRS016501	Tongue_dorsum	HMP
SRS016503	Buccal_mucosa	HMP
SRS016513	Anterior_nares	HMP
SRS016516	Posterior_fornix	HMP
SRS016541	Supragingival_plaque	HMP
SRS016569	Tongue_dorsum	HMP
SRS016575	Supragingival_plaque	HMP
SRS016581	Anterior_nares	HMP
SRS016600	Buccal_mucosa	HMP
SRS016740	Tongue_dorsum	HMP
SRS016746	Supragingival_plaque	HMP
SRS016752	Anterior_nares	HMP
SRS016753	Stool	HMP
SRS016954	Stool	HMP
SRS016989	Stool	HMP
SRS017007	Tongue_dorsum	HMP
SRS017013	Buccal_mucosa	HMP
SRS017025	Supragingival_plaque	HMP
SRS017044	Anterior_nares	HMP
SRS017076	Tongue_dorsum	HMP
SRS017080	Buccal_mucosa	HMP
SRS017103	Stool	HMP
SRS017120	Tongue_dorsum	HMP
SRS017127	Buccal_mucosa	HMP
SRS017139	Supragingival_plaque	HMP
SRS017156	Anterior_nares	HMP
SRS017191	Stool	HMP
SRS017209	Tongue_dorsum	HMP
SRS017215	Buccal_mucosa	HMP
SRS017227	Supragingival_plaque	HMP
SRS017244	Anterior_nares	HMP
SRS017247	Stool	HMP
SRS017304	Supragingival_plaque	HMP
SRS017307	Stool	HMP
SRS017433	Stool	HMP
SRS017439	Tongue_dorsum	HMP
SRS017441	Buccal_mucosa	HMP
SRS017445	Supragingival_plaque	HMP
SRS017451	Anterior_nares	HMP
SRS017497	Posterior_fornix	HMP
SRS017520	Posterior_fornix	HMP
SRS017521	Stool	HMP
SRS017687	Buccal_mucosa	HMP
SRS017697	Anterior_nares	HMP
SRS017700	Posterior_fornix	HMP
SRS017701	Stool	HMP
SRS017713	Tongue_dorsum	HMP
SRS017808	Tongue_dorsum	HMP
