# Pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
UNINTEGRATED|g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0	0	0	0	0	0	0	0	0.0169663	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	0	0.031288	0	0	0	0
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	0.17318	0	0	0	0	0	0	0
UNINTEGRATED|g__Alloprevotella.s__Alloprevotella_tannerae	0.0430381	0	0	0	0	0	0.0150455	0	0	0	0	0
UNINTEGRATED|g__Bacteroidetes_noname.s__Bacteroidetes_oral_taxon_274	0	0	0	0	0	0	0	0	0	0	0	0.00558401
UNINTEGRATED|g__Campylobacter.s__Campylobacter_gracilis	0	0	0	0	0	0	0	0	0	0	0	0.0170537
UNINTEGRATED|g__Campylobacter.s__Campylobacter_showae	0.0276233	0	0	0	0.0362486	0	0	0	0	0	0	0
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_gingivalis	0	0	0	0	0	0	0.0207124	0	0	0	0	0
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_granulosa	0	0	0	0	0	0	0	0	0	0	0	0.037126
UNINTEGRATED|g__Corynebacterium.s__Corynebacterium_matruchotii	0	0	0	0	0	0	0	0.110305	0	0	0	0.0363528
UNINTEGRATED|g__Eikenella.s__Eikenella_corrodens	0.0220176	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum	0.187951	0	0.109095	0	0.136568	0.0192977	0.033738	0	0	0	0.0109369	0.0247305
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_periodonticum	0	0	0.0576407	0.0290202	0	0	0.0544923	0	0.0319863	0.0347458	0.0160661	0
UNINTEGRATED|g__Gemella.s__Gemella_haemolysans	0	0	0.0100123	0.0309016	0	0	0	0	0	0.0453347	0	0.00777986
UNINTEGRATED|g__Gemella.s__Gemella_morbillorum	0.0272089	0	0	0	0.00431793	0	0	0	0	0	0	0
