# Pathway	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
UNMAPPED	0.104629	0.137741	0.224456	0.178071	0.217138	0.182078	0.167327	0.0671916	0.0894428	0.107409	0.131645	0.17968	0.195095	0.215585	0.182004	0.187546	0.1807	0.239645
UNINTEGRATED	0.827347	0.802706	0.722151	0.764528	0.737659	0.770697	0.779696	0.868274	0.829681	0.817119	0.795515	0.763798	0.745764	0.727732	0.762803	0.754859	0.761088	0.717251
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	3.48824e-06	1.85402e-06	0	0	8.98068e-07	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0.000295243	0.000271437	0.000298133	0.000282514	0.000321111	0.000313433	0.000316135	0.00020816	0.000314925	0.000302217	0.000319154	0.000529363	0.000431099	0.000451285	0.000492527	0.000386022	0.000386935	0.000216221
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	1.09563e-06	2.3404e-05	1.92166e-05	5.02236e-05	0	5.32366e-06	1.85648e-05	0.000113842	0.000122652	2.66828e-06	8.68252e-05	0	1.12753e-06	1.30681e-06	0	6.58837e-06	7.07655e-06	5.64784e-07
AEROBACTINSYN-PWY: aerobactin biosynthesis	5.10698e-05	0	9.52789e-07	0	0	0	6.24939e-07	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	2.70128e-06	0	9.94491e-06	1.25885e-05	4.6861e-07	5.00883e-07	3.7066e-06	1.52433e-07	0	0	1.41801e-05	0	8.21387e-07	1.29433e-06	0	1.84599e-06	4.6771e-06	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.000278683	0.0002734	0.000238143	0.00021862	6.45676e-05	0.000138746	0.000232432	0.000269661	0.000359267	0.000363875	0.000298804	0.000188679	0.000294334	0.000226014	0.000249652	0.000222437	0.000227194	6.04119e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000338072	0.000340663	0.000401111	0.000363076	0.000424996	0.000381919	0.000386125	0.000351937	0.000409254	0.000397909	0.000368773	0.000649321	0.00059701	0.000585664	0.000642529	0.000541472	0.000534954	0.000518562
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.000251287	0.000233461	0.000175557	0.000191454	7.09911e-05	0.00011562	0.000191255	0.000254348	0.000281273	0.000284846	0.000208424	1.28634e-05	4.30867e-05	4.3231e-05	2.31413e-06	0.00011346	0.000141308	5.30248e-05
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.000168477	0.000114464	2.63873e-05	3.05009e-05	0	2.43178e-06	3.8328e-05	0.000178771	0.00017091	9.29487e-05	0.000154643	5.30374e-07	3.69977e-06	4.41738e-06	0	1.60944e-05	2.48238e-05	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.000212461	0.000155857	6.11689e-05	3.67672e-05	4.42362e-05	9.62287e-05	8.15171e-05	0.000179322	0.00021581	0.000264373	0.000223176	3.85708e-06	5.07434e-06	7.25278e-06	6.90002e-06	1.65454e-05	2.58461e-05	3.94763e-06
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.000314154	0.000276348	0.000364129	0.000341612	0.000417939	0.000393676	0.000367247	0.00027425	0.00033731	0.000332312	0.000325795	0.000540545	0.000602801	0.000553636	0.000585673	0.000534988	0.000558128	0.000622118
