Kingdom	Phylum	Class	Order	Family	Genus	Cancer: mean rel. freq. (%)	Cancer: std. dev. (%)	Normal: mean rel. freq. (%)	Normal: std. dev. (%)	p-values	p-values (corrected)	Difference between means	95.0% lower CI	95.0% upper CI	Note	C1	C1: parent seq. count	C1: rel. freq. (%)	C2	C2: parent seq. count	C2: rel. freq. (%)	C3	C3: parent seq. count	C3: rel. freq. (%)	C4	C4: parent seq. count	C4: rel. freq. (%)	C5	C5: parent seq. count	C5: rel. freq. (%)	C6	C6: parent seq. count	C6: rel. freq. (%)	N1	N1: parent seq. count	N1: rel. freq. (%)	N2	N2: parent seq. count	N2: rel. freq. (%)	N3	N3: parent seq. count	N3: rel. freq. (%)	N4	N4: parent seq. count	N4: rel. freq. (%)	N5	N5: parent seq. count	N5: rel. freq. (%)	N6	N6: parent seq. count	N6: rel. freq. (%)	
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	1.80269818644	3.21946685015	11.4290952824	5.55544612974	0.010012245355	0.010012245355	-9.62639709599	-16.2455337767	-3.00726041531		0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	8.81347	100.00001	8.81346911865	0.0	100.0	0.0	2.00272	100.0	2.00272	17.86949	100.0	17.86949	7.772	100.0	7.772	19.87109	99.99999	19.8710919871	10.93973	100.00002	10.9397278121	5.29042	99.99999	5.29042052904	6.83184	99.99998	6.83184136637	
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	18.2576048385	14.5090928212	5.04707027935	3.54455128649	0.0987841065074	0.0987841065074	13.2105345591	-3.42492456756	29.8459936858		34.14482	100.0	34.14482	0.0	100.0	0.0	34.34449	100.0	34.34449	9.69062	100.00001	9.69061903094	28.56499	100.0	28.56499	2.80071	100.0	2.80071	8.67558	100.0	8.67558	0.0	100.0	0.0	3.77161	99.99999	3.77161037716	5.06707	100.00002	5.06706898659	2.41283	99.99999	2.41283024128	10.35533	99.99998	10.3553320711	
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	1.11840988816	2.50084053663	8.55153045252	9.7104563395	0.151443089471	0.151443089471	-7.43312056436	-18.5675285035	3.70128737481		0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	6.71046	100.00001	6.71045932895	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	4.25224	100.0	4.25224	12.29035	99.99999	12.290351229	6.63533	100.00002	6.63532867293	28.13126	99.99999	28.1312628131	0.0	99.99998	0.0	
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	0.0	0.0	4.30882187077	7.24983259297	0.241272018565	0.241272018565	-4.30882187077	-12.643223226	4.02557948443		0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.00001	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	19.72974	100.0	19.72974	0.0	99.99999	0.0	0.0	100.00002	0.0	0.0	99.99999	0.0	6.12319	99.99998	6.12319122464	
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	g__Dialister	0.0	0.0	0.209246703545	0.404871651912	0.300043853699	0.300043853699	-0.209246703545	-0.674686808692	0.256193401603		0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.00001	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.14914	100.0	0.14914	0.0	100.0	0.0	0.0	99.99999	0.0	0.0	100.00002	0.0	0.0	99.99999	0.0	1.10634	99.99998	1.10634022127	
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	Unclassified f__Leptotrichiaceae	5.01338160585	5.38717150025	2.24318007904	2.36894760568	0.328178004227	0.328178004227	2.77020152681	-3.47825048689	9.01865354052		2.61363	100.0	2.61363	0.0	100.0	0.0	15.16041	100.0	15.16041	3.64886	100.00001	3.64885963511	8.65739	100.0	8.65739	0.0	100.0	0.0	2.22141	100.0	2.22141	7.30533	100.0	7.30533	1.68268	99.99999	1.68268016827	0.0	100.00002	0.0	1.43964	99.99999	1.43964014396	0.81002	99.99998	0.810020162004	
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	7.09561332968	14.7527950374	0.0	0.0	0.331296378966	0.331296378966	7.09561332968	-9.86418724167	24.055413901		0.0	100.0	0.0	40.03139	100.0	40.03139	2.32289	100.0	2.32289	0.2194	100.00001	0.21939997806	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	99.99999	0.0	0.0	100.00002	0.0	0.0	99.99999	0.0	0.0	99.99998	0.0	
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	11.9905733311	18.6737339741	3.40087363633	3.53835674291	0.355649385471	0.355649385471	8.58969969472	-12.8270697209	30.0064691103		6.67421	100.0	6.67421	1.58029	100.0	1.58029	5.89117	100.0	5.89117	0.13673	100.00001	0.136729986327	4.22637	100.0	4.22637	53.43467	100.0	53.43467	6.22074	100.0	6.22074	4.99498	100.0	4.99498	0.0	99.99999	0.0	0.0	100.00002	0.0	0.19906	99.99999	0.199060019906	8.99046	99.99998	8.99046179809	
k__Bacteria	p__Bacteroidetes	c__Bacteroidetes_noname	o__Bacteroidetes_noname	f__Bacteroidetes_noname	g__Bacteroidetes_noname	0.0	0.0	0.499301766527	1.11647269124	0.363217467649	0.363217467649	-0.499301766527	-1.78279781855	0.784194285497		0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.00001	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	99.99999	0.0	0.0	100.00002	0.0	0.0	99.99999	0.0	2.99581	99.99998	2.99581059916	
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	0.0	0.0	0.56940011388	1.27321736103	0.363217467649	0.363217467649	-0.56940011388	-2.03308970439	0.894289476626		0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.00001	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	99.99999	0.0	0.0	100.00002	0.0	0.0	99.99999	0.0	3.4164	99.99998	3.41640068328	
