Pathway	KO	C1	C2
 aspartate and glutamate metabolism [PATH:ko00250]	K00820K00135K00260K01756K01939K01955K01956K00609K00812K01424K01755K01425	78.2807969031	26.561811011099998
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	K00845	0.0	5.7736720554
 leucine and isoleucine biosynthesis [PATH:ko00290]	K01703K01704K01754	6.9944719666	11.947759962300001
 leucine and isoleucine degradation [PATH:ko00280]	K00382K00128K01966K01692K00632	3.0604437643	24.9639710178
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	K00812	0.0	5.4545454545
 serine and threonine metabolism [PATH:ko00260]	K01834K00382K00600K00283K00831K17217K17103K12524K00133K02204K00643K01752K01754K01696	56.8349809019	38.4930554316
 tyrosine and tryptophan biosynthesis [PATH:ko00400]	K00812K01696K03786K00014K00891K00800K01657K01817K06209K00220	26.760429591599998	39.9443092687
ABC transporters [PATH:ko02010]	K02012K11072K02067K10540K10541K10542K02036K02044K02041K10009K01997K02072K02071K15581K16786K09810K02194K09811K18889	125.3777291111	37.2928925556
AMPK signaling pathway [PATH:ko04152]	K00850K03841	17.8458703696	0.0
Acarbose and validamycin biosynthesis [PATH:ko00525]	K00973K01710	0.0	12.485264579799999
Adipocytokine signaling pathway [PATH:ko04920]	K01897	4.9966900773	6.2695924765
Alanine	K00820K00135K00260K01756K01939K01955K01956K00609K00812K01424K01755K01425	78.2807969031	26.561811011099998
Alzheimer disease [PATH:ko05010]	K00134	10.0111234705	0.0
Amino acid metabolism	K04023K06997	23.913362610500002	10.1180438449
Amino acid related enzymes [BR:ko01007]	K00831K00812K00643K01874K01885K01845K01872K01876K01893K01878K01879K01868K01875K01869K01870K01887K01881K01889K01890K01866	162.8301757149	48.2297825777
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00845K01810K13810K01809K01840K00971K01711K00849K08679K00975K01207K12373K07106K04042K00790K03431K00820	72.5676074077	51.111432466
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	K01874K00604K01885K02433K02434K02435K01872K01876K01893K01878K01879K01868K01875K01869K01870K01887K01881K01889K01890K01866	156.5906613498	61.2273005867
Aminobenzoate degradation [PATH:ko00627]	K01692	0.0	8.1753580896
Amyotrophic lateral sclerosis [PATH:ko05014]	K00432K04565	9.9701634843	10.2522297069
Antifolate resistance [PATH:ko01523]	K00600K00602	7.0671378092	4.6795886793
Antigen processing and presentation [PATH:ko04612]	K04079	5.2089323226	0.0
Antimicrobial resistance genes [BR:ko01504]	K17836	7.8930078152	5.1652892562
Apoptosis - fly [PATH:ko04214]	K05770K03386	0.0	14.8105342289
Arachidonic acid metabolism [PATH:ko00590]	K00432	9.9701634843	4.4918610433
Arginine and proline metabolism [PATH:ko00330]	K00128K00812K01585K10536K00657K00472	16.2790298612	24.4075548035
Arginine biosynthesis [PATH:ko00220]	K00260K00812K01755K01425K00930	12.8334392284	19.7250501864
Ascorbate and aldarate metabolism [PATH:ko00053]	K00128K03078K13877K08679K01706K01708	9.7415405516	19.9280736236
Bacterial chemotaxis [PATH:ko02030]	K10540K00575K03406K03408K03413K03412K03409K02416K02557	16.8627335863	74.7520441931
Bacterial motility proteins [BR:ko02035]	K00575K03406K03408K03413K03412K03409K02416K02557K02411K02419K02420K02386K02394K02395K02279	17.4400145928	117.36694573540001
Bacterial secretion system [PATH:ko03070]	K03076K03073K03217K03070K03106K03110K03116K03118K02452K02454	70.3144483934	29.518551141099998
Bacterial toxins [BR:ko02042]	K03699	0.0	4.9916805324
Base excision repair [PATH:ko03410]	K02335K10563K10773K03652K01142	5.7647600489	24.5505361417
Benzoate degradation [PATH:ko00362]	K01692K00074K07516K00632	0.0	25.9767693561
Biofilm formation - Escherichia coli [PATH:ko02026]	K00975K00703K07173K03566	24.0220986353	5.076142132
Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	K01657	0.0	4.9893086244
Biofilm formation - Vibrio cholerae [PATH:ko05111]	K07173K03666K02452K02454	17.9453241226	18.5445283832
Biosynthesis of vancomycin group antibiotics [PATH:ko01055]	K01710	0.0	5.230125523
Biosynthesis of various secondary metabolites - part 2 [PATH:ko00998]	K02078	52.634580292	0.0
Biotin metabolism [PATH:ko00780]	K02372K01935K01012	32.9144871225	7.722007722
Butanoate metabolism [PATH:ko00650]	K03737K00239K00240K01692K00074K07516K03821K00135K00019K18009	17.409425779000003	52.9580419648
C5-Branched dibasic acid metabolism [PATH:ko00660]	K01903K19268K01703K01704	9.1354055204	17.4023054168
Caprolactam degradation [PATH:ko00930]	K01692	0.0	8.1753580896
Carbohydrate metabolism	K19504	10.8877782173	0.0
Carbon fixation in photosynthetic organisms [PATH:ko00710]	K03841K02446K01623K11645K01624K01803K00134K00927K01610K01807K00029K01595	77.7371967574	29.3987744051
Carbon fixation pathways in prokaryotes [PATH:ko00720]	K03737K01681K01903K00239K00240K00925K01962K01961K01963K01595K01938K01491	88.5843843955	25.889233844
Carotenoid biosynthesis [PATH:ko00906]	K02291K15746	0.0	13.034977961100001
Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]	K00677	9.7136736314	0.0
Cell cycle - Caulobacter [PATH:ko04112]	K02563K13588K13583K01338K03590K03588K06985K11749K03544K01358K13590	57.515608706500004	35.6646957782
Cell growth	K06412	25.8642369071	0.0
Central carbon metabolism in cancer [PATH:ko05230]	K00850K01834K00016K01425	36.8145788003	6.8493150685
Chaperones and folding catalysts [BR:ko03110]	K12373K04079K04043K04077K03544K03695K03686K04083K04762K04078K03770K03771	44.9645388129	68.6085596947
Chemical carcinogenesis [PATH:ko05204]	K00121K00799	0.0	35.0208007157
Chloroalkane and chloroalkene degradation [PATH:ko00625]	K00121K00128	0.0	28.9731830052
Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	K01061	0.0	10.1679871683
Cholesterol metabolism [PATH:ko04979]	K05770	0.0	6.1898445737
Chromosome and associated proteins [BR:ko03036]	K01623K00558K03685K03666K09811K03590K03588K07192K03497K03501K03495K04094K04047K05896K03466K09772K03569K05837K03496K03978	108.5102143623	57.8320971296
Citrate cycle (TCA cycle) [PATH:ko00020]	K00382K03737K01610K01647K01681K01903K00239K00240	39.4987718532	13.9576181283
Cofactor metabolism	K18586	0.0	7.3206442167
Cyanoamino acid metabolism [PATH:ko00460]	K05349K05350K00600K01424K00681	16.3335526091	23.4075162101
Cysteine and methionine metabolism [PATH:ko00270]	K00016K00831K01738K10764K17217K00812K12524K00133K01752K00549K00789K00558K07173K08968K01761	75.4682029992	48.8472364476
Cytochrome P450 [BR:ko00199]	K05525	0.0	5.3097345133
Cytoskeleton proteins [BR:ko04812]	K03590K03497K03569K03496	22.2404132928	10.7649610939
D-Alanine metabolism [PATH:ko00473]	K01775K01921	20.4654390643	6.4794816415
D-Glutamine and D-glutamate metabolism [PATH:ko00471]	K01425K01776K01924	25.3894184929	4.5489006823
DNA repair and recombination proteins [BR:ko03400]	K00525K01520K03040K03043K03046K03060K02342K02337K03763K02341K02335K10563K10773K03652K01142K03723K03702K03703K03657K03555K07456K03629K03553K03551K01159K04066K10979K01356K02469K02470K03168K03631K15342K02346K14160	200.5424562374	116.9341144424
DNA replication [PATH:ko03030]	K02342K02337K03763K02341K03469K02335	26.5377589741	13.4166933247
DNA replication proteins [BR:ko03032]	K00558K02342K02337K03763K02341K03469K02335K02469K02470K03168	46.9027883399	32.2877132259
Drug metabolism - cytochrome P450 [PATH:ko00982]	K00121K00799	0.0	35.0208007157
Drug metabolism - other enzymes [PATH:ko00983]	K00760K00940K01951K01520K00857K03782K00799	41.5371518671	38.0854783471
Energy metabolism	K02379K04755K05524K03612K04488	15.990189333899998	26.538759138
Enzymes with EC numbers	K22024K00154K00311K00344K03923K03387K07304K07223K06911K07336K14189K22617K00684K00809K13292K03734K05970K07107K08296K05985K15532K03653K01462K11206K09022K03924K19802K00346K00347K00348K00350K00351	119.55852480189999	141.1585163613
Estrogen signaling pathway [PATH:ko04915]	K04079	5.2089323226	0.0
Ethylbenzene degradation [PATH:ko00642]	K00632	0.0	4.8216007715
Exosome [BR:ko04147]	K01810K03841K01623K01803K00134K00927K01834K01689K00382K00016K00849K00700K01897K00864K00602K00939K01755K01698K06013K04079K04043K04077K03386K07192K02358	191.8697305383	65.1320246561
Fatty acid biosynthesis [PATH:ko00061]	K01962K01961K01963K02078K00648K02372K16363K01897	102.7527127371	17.8625642289
Fatty acid degradation [PATH:ko00071]	K00121K00128K01692K07516K01897K00632	4.9966900773	53.426456334499996
Ferroptosis [PATH:ko04216]	K01897K00657	9.2885355709	6.2695924765
Flagellar assembly [PATH:ko02040]	K02416K02557K02411K02419K02420K02386K02394K02395	14.391234104999999	46.2742838461
Fluid shear stress and atherosclerosis [PATH:ko05418]	K00799K04079	5.2089323226	12.0853535596
Fluorobenzoate degradation [PATH:ko00364]	K01061	0.0	10.1679871683
Folate biosynthesis [PATH:ko00790]	K14652K01495K11754K01664K10026K09457K20967	32.7443667271	30.906443739
Fructose and mannose metabolism [PATH:ko00051]	K00850K03841K02446K01623K11645K01624K01803K01809K01840K00971K01711K21883K00882	69.490872466	44.248319189
Function unknown	K06923K06929K06978K06996K07002K07005K07035K07093K07101K07112K07131K09005K09131K09787K09861K09985	53.843134704600004	67.8686529161
GABAergic synapse [PATH:ko04727]	K01425	8.5889570552	0.0
Galactose metabolism [PATH:ko00052]	K00845K00850K00849K01190K00035K01187	26.507083848	14.1311379715
General function prediction only	K03796K06878K15724K07082K21832K08972	16.1747601047	24.0193207374
Geraniol degradation [PATH:ko00281]	K01692K00632	0.0	12.9969588611
Glucagon signaling pathway [PATH:ko04922]	K00850K03841K01834K00016	36.8655082252	6.8493150685
Glucosinolate biosynthesis [PATH:ko00966]	K01703	0.0	5.9835452506
Glutamatergic synapse [PATH:ko04724]	K01425	8.5889570552	0.0
Glutathione metabolism [PATH:ko00480]	K00432K00681K07160K01255K01256K01270K00799	37.383672563400005	37.517911060299994
Glycerolipid metabolism [PATH:ko00561]	K00128K00864K03621K08591	20.9769830713	9.943985849099999
Glycerophospholipid metabolism [PATH:ko00564]	K08591K00057K01048K01126K04019K03735K03736K17103K01613	58.4686382	23.0916839533
Glycine	K01834K00382K00600K00283K00831K17217K17103K12524K00133K02204K00643K01752K01754K01696	56.8349809019	38.4930554316
Glycolysis / Gluconeogenesis [PATH:ko00010]	K00845K01810K13810K00850K03841K02446K01623K11645K01624K01803K00134K00927K01834K01689K00382K03737K00016K00121K00128K01610	135.5896941009	66.2474382661
Glycosaminoglycan degradation [PATH:ko00531]	K01207K12373	0.0	11.9311120713
Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]	K12373	0.0	5.7268722467
Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]	K12373	0.0	5.7268722467
Glycosyltransferases [BR:ko01003]	K00703K00697K02527K05366	18.74697681	12.4152828268
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00382K01647K01681K01638K01637K01966K19268K00600K00283K01433	18.653413860300002	34.943689904
HIF-1 signaling pathway [PATH:ko04066]	K00850K01623K00134K00927K01689K00016	65.9014840156	0.0
Hepatocellular carcinoma [PATH:ko05225]	K00799	0.0	12.0853535596
Histidine metabolism [PATH:ko00340]	K00128K02502K01468K01479	8.9074558091	8.8516117759
Homologous recombination [PATH:ko03440]	K02342K02337K03763K02341K02335K03629K03553K03551K01159K04066	63.4741016071	19.54630673
Human T-cell leukemia virus 1 infection [PATH:ko05166]	K05770	0.0	6.1898445737
Huntington disease [PATH:ko05016]	K00432K04565	9.9701634843	10.2522297069
IL-17 signaling pathway [PATH:ko04657]	K04079	5.2089323226	0.0
Inositol phosphate metabolism [PATH:ko00562]	K01803K01092	9.1463414634	11.6741730682
Insect hormone biosynthesis [PATH:ko00981]	K00128	0.0	6.0377358491
Insulin resistance [PATH:ko04931]	K00820	6.3145809414	0.0
Insulin signaling pathway [PATH:ko04910]	K03841K07192	15.054711854299999	0.0
Isoquinoline alkaloid biosynthesis [PATH:ko00950]	K00812	0.0	5.4545454545
Legionellosis [PATH:ko05134]	K00239K04077K03596	16.4045815528	6.4741915335
Limonene and pinene degradation [PATH:ko00903]	K00128K01692	0.0	14.213093938699998
Lipid biosynthesis proteins [BR:ko01004]	K00648K02372K16363K01897K03621K08591	33.4915273943	18.2310783798
Lipoic acid metabolism [PATH:ko00785]	K03644	7.585335019	0.0
Lipopolysaccharide biosynthesis [PATH:ko00540]	K16363K00677K02535K02536K09949K06041K01627K03270K00979K02527K02517K03271K03274	94.9129979847	3.385367884
Lipopolysaccharide biosynthesis proteins [BR:ko01005]	K16363K00677K02535K02536K06041K01627K03270K00979K02527K02517K03271K03274	88.5877366602	3.385367884
Longevity regulating pathway - multiple species [PATH:ko04213]	K04565K03695	8.0680515733	10.1958525346
Longevity regulating pathway - worm [PATH:ko04212]	K00799K04043K04077K01358	36.5087407615	18.5595450931
Lysine biosynthesis [PATH:ko00300]	K12524K00133K00674K01586K01928K01929	38.4460408826	4.3636363636
Lysine degradation [PATH:ko00310]	K00382K00128K01692K00135K01843K01844K18011K18012K18013K18014	59.8225758496	18.9787809919
Lysosome [PATH:ko04142]	K12373K01201K01444	6.5693430657	10.2212542692
MAPK signaling pathway - plant [PATH:ko04016]	K00940	0.0	9.375
Membrane trafficking [BR:ko04131]	K01623K00134K01834K00940K04079K07192K01267	42.9556484757	16.2243150685
Messenger RNA biogenesis [BR:ko03019]	K00850K01689K00937K03685K00962K11927K03628K18682K04043K04077K03666K06958	74.9818072762	36.5433606431
Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	K00121K00799	0.0	35.0208007157
Methane metabolism [PATH:ko00680]	K00850K03841K02446K01623K11645K01624K01834K01689K00121K00925K01595K00600K01070K00831	85.2263576564	67.7621479579
MicroRNAs in cancer [PATH:ko05206]	K01425K00558	8.5889570552	5.9347181009
Mismatch repair [PATH:ko03430]	K02342K02337K03763K02341K03657K03555K07456	38.6591939666	10.4792055321
Mitochondrial biogenesis [BR:ko03029]	K02257K02911K02433K02434K02435K01876K01869K01887K01866K03217K04079K04043K04077K02358K03595K02519K02520K02357K02355K03686K04078K07152	143.397579853	97.456891223
Monobactam biosynthesis [PATH:ko00261]	K00955K12524K00133	15.2698918178	4.4101433297
Monoterpenoid biosynthesis [PATH:ko00902]	K05525	0.0	5.3097345133
NOD-like receptor signaling pathway [PATH:ko04621]	K04079	5.2089323226	0.0
Naphthalene degradation [PATH:ko00626]	K00121	0.0	22.9354471561
Necroptosis [PATH:ko04217]	K04079	5.2089323226	0.0
Neomycin	K00845	0.0	5.7736720554
Neuroactive ligand-receptor interaction [PATH:ko04080]	K05770	0.0	6.1898445737
Nicotinate and nicotinamide metabolism [PATH:ko00760]	K00135K03517K00767K00763K00969K01916K03742K00325	43.4915193389	22.7932410062
Nitrogen metabolism [PATH:ko00910]	K05601K00459K00260K01673	11.574964763299999	18.6628877586
Nitrotoluene degradation [PATH:ko00633]	K10680	0.0	5.9405940594
Non-homologous end-joining [PATH:ko03450]	K10979	0.0	5.9424821888
Novobiocin biosynthesis [PATH:ko00401]	K00812K00220	0.0	14.1394089781
Nucleotide excision repair [PATH:ko03420]	K02335K03723K03702K03703K03657	34.7547959881	24.8932557194
O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K01809K01840K00971K01711K08679K04042K00973K01710	20.816254068200003	35.976080763300004
