# Feature	Level means (|ed)	P-value	Q-value
METSYN-PWY: L-homoserine and L-methionine biosynthesis	Stool:9.059e-05|Tongue_dorsum:0.0005423|Buccal_mucosa:0.00112|Supragingival_plaque:0.0004077|Posterior_fornix:1.275e-05|Anterior_nares:2.585e-05	6.477e-70	1.224e-67
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	Stool:9.416e-05|Tongue_dorsum:0.0005187|Buccal_mucosa:0.0007963|Supragingival_plaque:0.0003854|Posterior_fornix:9.412e-06|Anterior_nares:1.71e-05	7.074e-70	1.224e-67
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	Stool:5.553e-06|Tongue_dorsum:0.0001989|Buccal_mucosa:0.001337|Supragingival_plaque:0.0007095|Posterior_fornix:1.768e-06|Anterior_nares:0.0002186	1.115e-69	1.286e-67
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	Stool:5.078e-05|Tongue_dorsum:0.0003655|Buccal_mucosa:0.0009729|Supragingival_plaque:0.0002616|Posterior_fornix:7.601e-06|Anterior_nares:1.856e-05	3.124e-69	2.702e-67
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	Stool:3.478e-06|Tongue_dorsum:0.0001515|Buccal_mucosa:0.0005249|Supragingival_plaque:0.0001445|Posterior_fornix:2.321e-07|Anterior_nares:6.176e-06	7.574e-68	5.241e-66
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	Stool:7.31e-05|Tongue_dorsum:0.0004838|Buccal_mucosa:0.0005264|Supragingival_plaque:0.000311|Posterior_fornix:8.425e-06|Anterior_nares:5.945e-06	6.56e-67	3.783e-65
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	Stool:1.759e-05|Tongue_dorsum:0.0006484|Buccal_mucosa:0.0003094|Supragingival_plaque:0.0007416|Posterior_fornix:3.483e-06|Anterior_nares:0.0002229	1.098e-66	5.426e-65
PWY-3001: superpathway of L-isoleucine biosynthesis I	Stool:0.0002933|Tongue_dorsum:0.000893|Buccal_mucosa:0.001016|Supragingival_plaque:0.0007748|Posterior_fornix:1.806e-05|Anterior_nares:5.512e-05	2.768e-66	1.197e-64
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Stool:0.0003738|Tongue_dorsum:0.001091|Buccal_mucosa:0.001329|Supragingival_plaque:0.0009488|Posterior_fornix:4.112e-05|Anterior_nares:0.0002584	3.551e-66	1.229e-64
VALSYN-PWY: L-valine biosynthesis	Stool:0.0003738|Tongue_dorsum:0.001091|Buccal_mucosa:0.001329|Supragingival_plaque:0.0009488|Posterior_fornix:4.112e-05|Anterior_nares:0.0002584	3.551e-66	1.229e-64
HSERMETANA-PWY: L-methionine biosynthesis III	Stool:0.0001154|Tongue_dorsum:0.0003223|Buccal_mucosa:0.0005256|Supragingival_plaque:0.0003456|Posterior_fornix:6.292e-06|Anterior_nares:3.516e-05	5.511e-66	1.734e-64
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	Stool:0.0003384|Tongue_dorsum:0.001041|Buccal_mucosa:0.00129|Supragingival_plaque:0.0009313|Posterior_fornix:3.717e-05|Anterior_nares:0.0002536	9.406e-66	2.712e-64
PWY-6151: S-adenosyl-L-methionine cycle I	Stool:0.0001096|Tongue_dorsum:0.000883|Buccal_mucosa:0.001313|Supragingival_plaque:0.000721|Posterior_fornix:6.179e-05|Anterior_nares:0.0003663	3.524e-65	9.378e-64
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	Stool:1.702e-05|Tongue_dorsum:0.000277|Buccal_mucosa:0.0005042|Supragingival_plaque:0.0002437|Posterior_fornix:1.598e-06|Anterior_nares:6.675e-06	5.617e-65	1.388e-63
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	Stool:1.036e-05|Tongue_dorsum:0.0002622|Buccal_mucosa:0.0002298|Supragingival_plaque:0.0004749|Posterior_fornix:1.681e-06|Anterior_nares:1.611e-05	9.326e-65	2.017e-63
THRESYN-PWY: superpathway of L-threonine biosynthesis	Stool:0.0002727|Tongue_dorsum:0.0008003|Buccal_mucosa:0.0008967|Supragingival_plaque:0.0006986|Posterior_fornix:2.27e-05|Anterior_nares:4.455e-05	9.053e-65	2.017e-63
PENTOSE-P-PWY: pentose phosphate pathway	Stool:6.826e-06|Tongue_dorsum:0.0002888|Buccal_mucosa:0.0005429|Supragingival_plaque:0.0003331|Posterior_fornix:0|Anterior_nares:1.326e-05	2.767e-64	5.632e-63
PWY-5097: L-lysine biosynthesis VI	Stool:0.001095|Tongue_dorsum:0.0004845|Buccal_mucosa:0.0001403|Supragingival_plaque:0.0001266|Posterior_fornix:8.064e-05|Anterior_nares:1.22e-05	3.008e-64	5.783e-63
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	Stool:2.537e-05|Tongue_dorsum:0.0007133|Buccal_mucosa:0.0007487|Supragingival_plaque:0.0004793|Posterior_fornix:8.939e-06|Anterior_nares:2.33e-05	3.69e-64	6.72e-63
PWY-6124: inosine-5'-phosphate biosynthesis II	Stool:7.914e-06|Tongue_dorsum:0.00043|Buccal_mucosa:0.0004945|Supragingival_plaque:0.0001909|Posterior_fornix:4.205e-06|Anterior_nares:1.14e-05	5.702e-64	9.864e-63
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	Stool:6.988e-05|Tongue_dorsum:0.0004903|Buccal_mucosa:0.0003044|Supragingival_plaque:0.0005189|Posterior_fornix:9.09e-06|Anterior_nares:4.55e-05	7.326e-64	1.207e-62
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Stool:6.18e-05|Tongue_dorsum:0.0004798|Buccal_mucosa:0.0002988|Supragingival_plaque:0.0004991|Posterior_fornix:8.156e-06|Anterior_nares:4.268e-05	9.48e-64	1.491e-62
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	Stool:0.0002057|Tongue_dorsum:0.000778|Buccal_mucosa:0.0007337|Supragingival_plaque:0.0006294|Posterior_fornix:7.685e-06|Anterior_nares:0.0001923	1.496e-63	2.251e-62
PWY-7111: pyruvate fermentation to isobutanol (engineered)	Stool:0.0003555|Tongue_dorsum:0.001122|Buccal_mucosa:0.0008441|Supragingival_plaque:0.0007223|Posterior_fornix:4.696e-05|Anterior_nares:0.0002216	2.528e-63	3.644e-62
