manhatten	C1	C3	C5	H1	H2	H3	H6	H5	H4	C4	C2	E4	C6	E3	E1	E6	E2	E5
C1	0	1266.0	1221.0	1217.0	1229.0	1170.0	1180.0	1216.0	1176.0	1309.0	1373.0	1788.0	2156.0	2266.0	2921.0	3053.0	3533.0	3379.0
C3	1266.0	0	1193.0	1141.0	1159.0	1130.0	1202.0	1186.0	1192.0	1299.0	1391.0	1840.0	2128.0	2326.0	2865.0	3005.0	3573.0	3457.0
C5	1221.0	1193.0	0	880.0	902.0	853.0	929.0	1003.0	1037.0	1268.0	1334.0	1645.0	2189.0	2341.0	3004.0	3160.0	3556.0	3436.0
H1	1217.0	1141.0	880.0	0	704.0	727.0	745.0	873.0	919.0	1272.0	1364.0	1709.0	2349.0	2481.0	3064.0	3224.0	3756.0	3604.0
H2	1229.0	1159.0	902.0	704.0	0	607.0	663.0	799.0	961.0	1326.0	1460.0	1761.0	2453.0	2561.0	3216.0	3358.0	3870.0	3758.0
H3	1170.0	1130.0	853.0	727.0	607.0	0	744.0	832.0	936.0	1265.0	1385.0	1708.0	2352.0	2538.0	3175.0	3315.0	3823.0	3687.0
H6	1180.0	1202.0	929.0	745.0	663.0	744.0	0	830.0	958.0	1285.0	1411.0	1732.0	2410.0	2452.0	3083.0	3251.0	3751.0	3625.0
H5	1216.0	1186.0	1003.0	873.0	799.0	832.0	830.0	0	966.0	1321.0	1377.0	1738.0	2304.0	2392.0	3027.0	3173.0	3715.0	3581.0
H4	1176.0	1192.0	1037.0	919.0	961.0	936.0	958.0	966.0	0	1275.0	1289.0	1716.0	2166.0	2294.0	2905.0	3135.0	3639.0	3495.0
C4	1309.0	1299.0	1268.0	1272.0	1326.0	1265.0	1285.0	1321.0	1275.0	0	1402.0	1719.0	2075.0	2175.0	2772.0	2958.0	3420.0	3286.0
C2	1373.0	1391.0	1334.0	1364.0	1460.0	1385.0	1411.0	1377.0	1289.0	1402.0	0	1779.0	2055.0	2259.0	2856.0	2996.0	3346.0	3218.0
E4	1788.0	1840.0	1645.0	1709.0	1761.0	1708.0	1732.0	1738.0	1716.0	1719.0	1779.0	0	2240.0	2386.0	2879.0	3021.0	3067.0	2899.0
C6	2156.0	2128.0	2189.0	2349.0	2453.0	2352.0	2410.0	2304.0	2166.0	2075.0	2055.0	2240.0	0	2366.0	2951.0	2863.0	3101.0	3073.0
E3	2266.0	2326.0	2341.0	2481.0	2561.0	2538.0	2452.0	2392.0	2294.0	2175.0	2259.0	2386.0	2366.0	0	2735.0	2833.0	3067.0	3079.0
E1	2921.0	2865.0	3004.0	3064.0	3216.0	3175.0	3083.0	3027.0	2905.0	2772.0	2856.0	2879.0	2951.0	2735.0	0	2986.0	3668.0	3514.0
E6	3053.0	3005.0	3160.0	3224.0	3358.0	3315.0	3251.0	3173.0	3135.0	2958.0	2996.0	3021.0	2863.0	2833.0	2986.0	0	3478.0	3474.0
E2	3533.0	3573.0	3556.0	3756.0	3870.0	3823.0	3751.0	3715.0	3639.0	3420.0	3346.0	3067.0	3101.0	3067.0	3668.0	3478.0	0	2702.0
E5	3379.0	3457.0	3436.0	3604.0	3758.0	3687.0	3625.0	3581.0	3495.0	3286.0	3218.0	2899.0	3073.0	3079.0	3514.0	3474.0	2702.0	0
