jaccard_binary	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
C1	0	0.821	0.710	0.730	0.710	0.663	0.669	0.734	0.686	0.730	0.691	0.672
C2	0.821	0	0.694	0.741	0.807	0.768	0.759	0.723	0.758	0.777	0.787	0.770
C3	0.710	0.694	0	0.652	0.766	0.681	0.657	0.701	0.646	0.719	0.687	0.692
C4	0.730	0.741	0.652	0	0.742	0.661	0.698	0.726	0.620	0.604	0.649	0.691
C5	0.710	0.807	0.766	0.742	0	0.702	0.721	0.745	0.728	0.736	0.700	0.681
C6	0.663	0.768	0.681	0.661	0.702	0	0.638	0.685	0.618	0.650	0.563	0.599
N1	0.669	0.759	0.657	0.698	0.721	0.638	0	0.664	0.620	0.690	0.672	0.620
N2	0.734	0.723	0.701	0.726	0.745	0.685	0.664	0	0.671	0.720	0.691	0.680
N3	0.686	0.758	0.646	0.620	0.728	0.618	0.620	0.671	0	0.637	0.629	0.653
N4	0.730	0.777	0.719	0.604	0.736	0.650	0.690	0.720	0.637	0	0.659	0.690
N5	0.691	0.787	0.687	0.649	0.700	0.563	0.672	0.691	0.629	0.659	0	0.629
N6	0.672	0.770	0.692	0.691	0.681	0.599	0.620	0.680	0.653	0.690	0.629	0
