bray_curtis	C1	C5	C2	C3	N2	N1	C4	N4	N3	N5	N6	C6
C1	0	0.540	0.932	0.754	0.894	0.633	0.923	0.945	0.919	0.913	0.765	0.895
C5	0.540	0	0.934	0.734	0.919	0.776	0.916	0.932	0.915	0.911	0.757	0.913
C2	0.932	0.934	0	0.460	0.547	0.758	0.722	0.789	0.785	0.801	0.801	0.794
C3	0.754	0.734	0.460	0	0.588	0.611	0.618	0.697	0.638	0.698	0.716	0.757
N2	0.894	0.919	0.547	0.588	0	0.723	0.757	0.818	0.750	0.775	0.684	0.795
N1	0.633	0.776	0.758	0.611	0.723	0	0.746	0.739	0.759	0.782	0.637	0.750
C4	0.923	0.916	0.722	0.618	0.757	0.746	0	0.280	0.472	0.555	0.811	0.792
N4	0.945	0.932	0.789	0.697	0.818	0.739	0.280	0	0.535	0.636	0.774	0.837
N3	0.919	0.915	0.785	0.638	0.750	0.759	0.472	0.535	0	0.474	0.808	0.808
N5	0.913	0.911	0.801	0.698	0.775	0.782	0.555	0.636	0.474	0	0.804	0.789
N6	0.765	0.757	0.801	0.716	0.684	0.637	0.811	0.774	0.808	0.804	0	0.801
C6	0.895	0.913	0.794	0.757	0.795	0.750	0.792	0.837	0.808	0.789	0.801	0
