bray_curtis_binary	C1	C3	C4	N4	C6	N5	N6	N3	N1	N2	C5	C2
C1	0	0.550	0.575	0.575	0.496	0.528	0.506	0.522	0.502	0.580	0.551	0.696
C3	0.550	0	0.483	0.561	0.516	0.523	0.529	0.477	0.489	0.540	0.621	0.531
C4	0.575	0.483	0	0.432	0.494	0.481	0.528	0.450	0.536	0.570	0.590	0.588
N4	0.575	0.561	0.432	0	0.481	0.492	0.526	0.468	0.527	0.562	0.582	0.636
C6	0.496	0.516	0.494	0.481	0	0.391	0.428	0.447	0.469	0.521	0.540	0.624
N5	0.528	0.523	0.481	0.492	0.391	0	0.459	0.459	0.506	0.528	0.538	0.649
N6	0.506	0.529	0.528	0.526	0.428	0.459	0	0.484	0.449	0.515	0.516	0.626
N3	0.522	0.477	0.450	0.468	0.447	0.459	0.484	0	0.449	0.505	0.572	0.610
N1	0.502	0.489	0.536	0.527	0.469	0.506	0.449	0.449	0	0.497	0.564	0.612
N2	0.580	0.540	0.570	0.562	0.521	0.528	0.515	0.505	0.497	0	0.594	0.566
C5	0.551	0.621	0.590	0.582	0.540	0.538	0.516	0.572	0.564	0.594	0	0.676
C2	0.696	0.531	0.588	0.636	0.624	0.649	0.626	0.610	0.612	0.566	0.676	0
