manhatten	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
C1	0	416.0	264.0	246.0	218.0	177.0	222.0	279.0	218.0	238.0	201.0	217.0
C2	416.0	0	376.0	386.0	422.0	365.0	410.0	401.0	394.0	408.0	395.0	411.0
C3	264.0	376.0	0	260.0	314.0	241.0	270.0	319.0	252.0	294.0	257.0	285.0
C4	246.0	386.0	260.0	0	268.0	205.0	268.0	307.0	214.0	204.0	211.0	257.0
C5	218.0	422.0	314.0	268.0	0	207.0	264.0	301.0	254.0	256.0	219.0	235.0
C6	177.0	365.0	241.0	205.0	207.0	0	201.0	244.0	181.0	193.0	144.0	178.0
N1	222.0	410.0	270.0	268.0	264.0	201.0	0	275.0	220.0	256.0	229.0	225.0
N2	279.0	401.0	319.0	307.0	301.0	244.0	275.0	0	267.0	295.0	260.0	278.0
N3	218.0	394.0	252.0	214.0	254.0	181.0	220.0	267.0	0	216.0	197.0	231.0
N4	238.0	408.0	294.0	204.0	256.0	193.0	256.0	295.0	216.0	0	209.0	249.0
N5	201.0	395.0	257.0	211.0	219.0	144.0	229.0	260.0	197.0	209.0	0	202.0
N6	217.0	411.0	285.0	257.0	235.0	178.0	225.0	278.0	231.0	249.0	202.0	0
