jaccard	C1	C5	C2	C3	N2	N1	C4	N4	N3	N5	N6	C6
C1	0	0.701	0.965	0.860	0.944	0.775	0.960	0.972	0.958	0.954	0.867	0.945
C5	0.701	0	0.966	0.846	0.958	0.874	0.956	0.965	0.956	0.953	0.862	0.955
C2	0.965	0.966	0	0.630	0.707	0.862	0.838	0.882	0.879	0.890	0.890	0.885
C3	0.860	0.846	0.630	0	0.741	0.758	0.764	0.822	0.779	0.822	0.834	0.862
N2	0.944	0.958	0.707	0.741	0	0.839	0.861	0.900	0.857	0.873	0.812	0.886
N1	0.775	0.874	0.862	0.758	0.839	0	0.854	0.850	0.863	0.878	0.779	0.857
C4	0.960	0.956	0.838	0.764	0.861	0.854	0	0.437	0.642	0.714	0.896	0.884
N4	0.972	0.965	0.882	0.822	0.900	0.850	0.437	0	0.697	0.777	0.873	0.911
N3	0.958	0.956	0.879	0.779	0.857	0.863	0.642	0.697	0	0.643	0.894	0.894
N5	0.954	0.953	0.890	0.822	0.873	0.878	0.714	0.777	0.643	0	0.891	0.882
N6	0.867	0.862	0.890	0.834	0.812	0.779	0.896	0.873	0.894	0.891	0	0.889
C6	0.945	0.955	0.885	0.862	0.886	0.857	0.884	0.911	0.894	0.882	0.889	0
