Genus	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
Bacteroides	6038582	9201175	6581990	8464367	8031810	1278370	2021422	2288818	254648	146011	7367683	1670274	667551	1192282	1341557	404124	475511
Phocaeicola	1565196	2457850	2799945	1054658	3645450	225603	188311	2202011	590325	2339261	6229726	567900	442527	421440	375372	424882	412607
Bifidobacterium	95510	2557	10462	33333	47948	1283	1032	12832	300331	12571722	438	248566	9834	6894	435190	1791709	7953
Escherichia	32702	4062	337922	257924	64618	3042816	689429	7758979	1609387	744752	428783	25782	7511	15925	4000	39938	68132
Prevotella	12077	104594	163282	90595	8123	3533	2218	5420	11821	5171	11892	3446031	2641832	1742870	41510	1993997	2427220
Faecalibacterium	256774	133583	279888	306763	650399	34908	13626	20256	59017	21184	10599	1305173	1188524	568085	2840485	600648	597676
Parabacteroides	663710	1243554	464137	690991	1371578	742000	103663	116842	1389084	37476	266989	160306	187852	219120	230273	30656	94236
Alistipes	1863612	1321374	985505	1277924	487857	2082	2581	140391	5347	15850	40850	219227	357180	405320	197843	232532	157203
Klebsiella	3166	15802	16151	8694	1234	47343	5188432	48950	181141	114852	6820	101857	84470	4770	1206	402548	62113
Mediterraneibacter	44885	88657	88663	154354	29594	2238106	2542	36249	1481280	12788	28577	188683	251965	153426	150607	148521	728605
Enterocloster	47273	26509	43968	121858	211206	3741692	1180	51386	286924	50659	50622	114387	36263	41095	47773	25219	32251
Blautia	108251	88445	69583	46307	20306	150478	5101	73843	188282	47776	39156	597062	346583	432229	584947	726357	428375
Roseburia	45729	80021	136053	106967	7820	58953	1085	24563	40699	3247	7561	363318	311794	543337	534798	423625	651776
Lachnospira	16141	7369	10469	5784	129528	3572	38	1833	2210506	78	533	54991	86929	42366	572629	108526	36889
Megamonas	224	409	320	26631	159307	293	298	214	503	221	21842	659844	453	1301	1795246	138664	21835
Simiaoa	10435	588939	220125	44958	1721	7614	348	5826	18271	1670	2738	346551	724324	283900	313930	112008	61054
Fusobacterium	575	35256	25080	22530	2222	1485446	366	29681	875	76	847443	3991	1761	3531	1839	2674	30605
Veillonella	620	2183	651477	9209	175	1029557	82308	1119	56814	212377	11278	40410	2400	3048	6982	21769	9423
Coprococcus	15882	48836	19844	32225	2359	25501	760	6974	13326	1426	4083	52430	308017	392605	177748	539325	330168
Megasphaera	1570823	614	3386	154047	11098	1770	191	319	18872	376	234	1949	3398	3138	114062	22912	1794
Dorea	66734	32717	37219	16043	4374	28788	1352	16967	14508	5617	6659	119531	202328	263316	137003	396962	278533
Phascolarctobacterium	75474	19459	216665	282411	27977	1080	1750	271399	5179	11260	277226	52859	12565	9805	48008	2713	283299
Homo	7962	37489	16200	15596	8160	28301	745	10872	23201	47809	9723	64443	131328	522474	126762	217180	271982
Ruthenibacterium	28308	51706	103668	123572	20301	2470	459127	140123	2765	109999	34010	199964	87030	53349	44109	15904	27737
