Taxonomy	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
k__Archaea|p__Candidatus_Korarchaeota	0	18	0	0	2	0	0	2	0	0	0	0	5	0	0	0	0	0
k__Archaea|p__Candidatus_Korarchaeota|g__Candidatus_Korarchaeum	0	18	0	0	2	0	0	2	0	0	0	0	5	0	0	0	0	0
k__Archaea|p__Candidatus_Korarchaeota|g__Candidatus_Korarchaeum|s__Candidatus_Korarchaeum_cryptofilum	0	18	0	0	2	0	0	2	0	0	0	0	5	0	0	0	0	0
k__Archaea|p__Candidatus_Lokiarchaeota	15	3	91	38	5	0	4	1	0	3	0	6	18	18	8	19	18	17
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia	15	3	91	38	5	0	4	1	0	3	0	6	18	18	8	19	18	17
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales	15	3	91	38	5	0	4	1	0	3	0	6	18	18	8	19	18	17
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales|f__Candidatus_Prometheoarchaeaceae	15	3	91	38	5	0	4	1	0	3	0	6	18	18	8	19	18	17
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales|f__Candidatus_Prometheoarchaeaceae|g__Candidatus_Prometheoarchaeum	15	3	91	38	5	0	4	1	0	3	0	6	18	18	8	19	18	17
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales|f__Candidatus_Prometheoarchaeaceae|g__Candidatus_Prometheoarchaeum|s__Candidatus_Prometheoarchaeum_syntrophicum	15	3	91	38	5	0	4	1	0	3	0	6	18	18	8	19	18	17
k__Archaea|p__Candidatus_Micrarchaeota	4	2	5	0	17	12	0	0	1	0	0	0	6	6	4	8	5	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia	0	2	2	0	17	0	0	0	0	0	0	0	6	4	2	2	1	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales	0	2	2	0	17	0	0	0	0	0	0	0	6	4	2	2	1	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales|f__Candidatus_Micrarchaeaceae	0	2	2	0	17	0	0	0	0	0	0	0	6	4	2	2	1	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales|f__Candidatus_Micrarchaeaceae|g__Candidatus_Micrarchaeum	0	2	2	0	17	0	0	0	0	0	0	0	6	4	2	2	1	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales|f__Candidatus_Micrarchaeaceae|g__Candidatus_Micrarchaeum|s__Candidatus_Micrarchaeum_sp.	0	2	2	0	17	0	0	0	0	0	0	0	6	4	2	2	1	0
k__Archaea|p__Candidatus_Micrarchaeota|g__Candidatus_Mancarchaeum	4	0	3	0	0	12	0	0	1	0	0	0	0	2	2	6	4	0
k__Archaea|p__Candidatus_Micrarchaeota|g__Candidatus_Mancarchaeum|s__Candidatus_Mancarchaeum_acidiphilum	4	0	3	0	0	12	0	0	1	0	0	0	0	2	2	6	4	0
k__Archaea|p__Candidatus_Nanohaloarchaeota	5	9	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia	5	9	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales	5	9	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales|f__Candidatus_Nanohalobiaceae	5	9	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales|f__Candidatus_Nanohalobiaceae|g__Candidatus_Nanohalobium	5	9	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales|f__Candidatus_Nanohalobiaceae|g__Candidatus_Nanohalobium|s__Candidatus_Nanohalobium_constans	5	9	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0
k__Archaea|p__Candidatus_Thermoplasmatota	43	71	56	55	145	27	55	1	20	186	2	35	250	121	228	161	186	259
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	40	70	49	54	137	24	54	1	20	186	2	34	245	118	227	148	164	244
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	35	70	40	34	103	23	47	1	17	152	0	18	215	90	151	134	65	195
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae	13	18	10	14	29	6	2	0	2	151	0	3	115	58	73	66	40	121
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus	13	18	10	14	29	6	2	0	2	151	0	3	115	58	73	66	40	121
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus	13	18	10	14	29	6	2	0	2	151	0	3	115	58	73	66	40	121
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	22	52	30	20	74	17	45	1	15	1	0	15	100	32	78	68	25	74
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanoplasma	3	1	1	0	4	1	0	0	1	0	0	0	10	21	16	2	16	16
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanoplasma|s__Candidatus_Methanoplasma_termitum	3	1	1	0	4	1	0	0	1	0	0	0	10	21	16	2	16	16
