# Pathway	C1_Abundance
UNMAPPED	21084.3661380067
UNINTEGRATED	19814.7073111346
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum	7339.5447075977
UNINTEGRATED|unclassified	3691.6646259107
UNINTEGRATED|g__Prevotella.s__Prevotella_nigrescens	2118.7010609843
UNINTEGRATED|g__Alloprevotella.s__Alloprevotella_tannerae	1339.0203591075
UNINTEGRATED|g__Gemella.s__Gemella_morbillorum	1148.0056469133
UNINTEGRATED|g__Campylobacter.s__Campylobacter_showae	953.4447480972
UNINTEGRATED|g__Eikenella.s__Eikenella_corrodens	757.5409521576
UNINTEGRATED|g__Solobacterium.s__Solobacterium_moorei	676.3061081518
PWY-7219: adenosine ribonucleotides de novo biosynthesis	34.6526269345
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	20.7080431952
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_nigrescens	3.7836988774
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alloprevotella.s__Alloprevotella_tannerae	2.4615685446
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Gemella.s__Gemella_morbillorum	2.2160332943
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	29.9424927405
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Fusobacterium.s__Fusobacterium_nucleatum	9.4607011705
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Gemella.s__Gemella_morbillorum	3.3598025351
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Campylobacter.s__Campylobacter_showae	2.6828074762
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eikenella.s__Eikenella_corrodens	1.3633188242
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	29.9424927405
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	9.4607011705
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Gemella.s__Gemella_morbillorum	3.3598025351
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Campylobacter.s__Campylobacter_showae	2.6828074762
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eikenella.s__Eikenella_corrodens	1.3633188242
PWY-5686: UMP biosynthesis	28.8182195774
PWY-5686: UMP biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	13.7276559765
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	26.8127441140
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Fusobacterium.s__Fusobacterium_nucleatum	12.0770337743
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	8.4856170855
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Prevotella.s__Prevotella_nigrescens	3.1747125392
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	25.8507938700
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Fusobacterium.s__Fusobacterium_nucleatum	15.7040234908
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	25.6954432395
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Fusobacterium.s__Fusobacterium_nucleatum	9.2201484874
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Gemella.s__Gemella_morbillorum	3.5111221442
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Campylobacter.s__Campylobacter_showae	2.2411131430
TRNA-CHARGING-PWY: tRNA charging	24.7441532358
TRNA-CHARGING-PWY: tRNA charging|g__Fusobacterium.s__Fusobacterium_nucleatum	13.3729602896
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	24.7131640413
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Fusobacterium.s__Fusobacterium_nucleatum	2.4377626077
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	24.6566582792
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Fusobacterium.s__Fusobacterium_nucleatum	13.2707906303
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	24.5697936933
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Fusobacterium.s__Fusobacterium_nucleatum	13.1264320513
PWY-6151: S-adenosyl-L-methionine cycle I	24.2431719892
PWY-6151: S-adenosyl-L-methionine cycle I|g__Fusobacterium.s__Fusobacterium_nucleatum	13.6823150181
PWY-5103: L-isoleucine biosynthesis III	23.5996575921
PWY-5103: L-isoleucine biosynthesis III|g__Fusobacterium.s__Fusobacterium_nucleatum	21.0304513648
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	22.7630069248
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Fusobacterium.s__Fusobacterium_nucleatum	20.9002852255
VALSYN-PWY: L-valine biosynthesis	22.7630069248
VALSYN-PWY: L-valine biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	20.9002852255
VALSYN-PWY: L-valine biosynthesis|g__Campylobacter.s__Campylobacter_showae	1.4036319366
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	22.3484406483
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Fusobacterium.s__Fusobacterium_nucleatum	6.6247902296
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	22.3299610530
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Fusobacterium.s__Fusobacterium_nucleatum	9.2607997005
PWY-5100: pyruvate fermentation to acetate and lactate II	22.1425556256
PWY-1042: glycolysis IV (plant cytosol)	22.0957886600
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	21.5086675083
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Fusobacterium.s__Fusobacterium_nucleatum	17.9427091296
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	21.4877988974
