# Pathway	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
UNMAPPED	0.155056	0.150918	0.154415	0.142281	0.150854	0.141679	0.119421	0.0567745	0.0635286	0.153345	0.0983359	0.12142	0.220035	0.254324	0.214598	0.192488	0.181306	0.184961
UNINTEGRATED	0.787984	0.796577	0.795757	0.799168	0.78876	0.810828	0.814484	0.845095	0.858565	0.779245	0.825688	0.821552	0.740367	0.702541	0.732998	0.756124	0.77017	0.763474
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	3.47107e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation	0	0	0	0	0	0	0	0	0	1.21552e-06	2.25223e-07	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0.000409767	0.000479573	0.00049597	0.000483877	0.00049694	0.000456495	0.000315287	0.000331585	0.000271317	0.000326715	0.000406127	0.000362228	0.00030468	0.00038539	0.000454264	0.000419233	0.000322893	0.000340158
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	5.35808e-06	0	0	6.12774e-06	1.28271e-05	5.91442e-06	2.60982e-06	0.000206811	0	8.21339e-06	3.45437e-05	3.51959e-05	3.6634e-06	5.62977e-06	1.68943e-06	0	1.36669e-05	9.87945e-06
AEROBACTINSYN-PWY: aerobactin biosynthesis	4.68551e-06	0	6.0021e-07	0	1.94257e-05	4.27666e-06	5.54434e-05	1.1689e-05	0.000129674	1.03072e-06	2.20086e-06	0	4.84966e-07	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	4.9795e-06	0	8.66661e-08	5.42693e-07	1.74647e-06	4.48376e-07	2.53278e-06	7.24605e-06	1.37504e-07	4.73018e-06	1.63023e-06	1.26517e-06	5.93827e-06	3.62052e-06	5.41362e-06	1.34576e-05	3.64125e-06	2.5086e-06
ANAEROFRUCAT-PWY: homolactic fermentation	0.000286424	0.000241478	0.000271709	0.000230999	0.00023268	0.000189286	0.000275329	0.000352347	0.000377423	0.000262963	0.000367202	0.000249293	0.000136681	0.000196395	0.000151314	0.000140223	0.00025734	0.000205818
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00043317	0.000466911	0.000481702	0.000400072	0.000440134	0.000431025	0.000405825	0.000410851	0.000409364	0.00030813	0.00051081	0.000345132	0.000397901	0.000402777	0.000524914	0.000563627	0.000391905	0.000418547
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	7.77154e-05	9.03629e-05	5.19503e-05	0.000133342	0.000162459	6.4482e-05	0.000284019	0.000270193	0.000292915	0.000219654	0.000204473	0.000125718	6.43224e-05	7.48557e-05	6.83851e-05	5.22214e-05	0.000137713	0.000149105
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	6.72188e-06	3.8307e-06	1.31661e-06	1.83503e-05	3.58677e-05	4.20154e-06	9.99832e-05	0.00019598	0.000189998	0.000122926	8.75926e-05	4.70845e-05	3.51677e-06	4.32409e-06	6.88005e-06	0	2.74348e-05	1.97473e-05
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.000268209	0.000248155	0.000333064	0.000334565	0.000321207	0.000314176	0.000181115	0.000314085	0.000283753	0.000252262	0.000159694	0.000245744	0.000100919	4.34458e-05	8.50066e-05	6.26454e-05	3.24924e-05	4.24834e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.000226712	0.000277104	0.000182993	0.00024082	0.000244961	0.000146283	0.000402578	0.000423795	0.000322419	0.000401764	0.000526157	0.000174744	0.000372874	0.000420475	0.000540562	0.000627975	0.000418911	0.000413438
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00019564	0.000202045	0.000157509	0.000215436	0.00024321	0.000132248	0.000380256	0.00042415	0.000316008	0.000372287	0.000537223	0.000166277	0.000369971	0.00040528	0.000576723	0.000644195	0.000433714	0.000425438
ARO-PWY: chorismate biosynthesis I	0.000397771	0.000473386	0.000448369	0.000441559	0.000464236	0.000384048	0.000380228	0.000489721	0.000287736	0.000473577	0.000469419	0.000331435	0.00039588	0.000487955	0.00062975	0.000641636	0.000513877	0.000476179
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.000296906	0.000295383	0.000361834	0.000381993	0.000354468	0.0003169	0.000329905	0.000588555	0.00041313	0.000268715	0.000367812	0.000363738	0.00018472	0.00021646	0.00028688	0.000142077	0.000300366	0.000286266
AST-PWY: L-arginine degradation II (AST pathway)	1.02e-05	4.82552e-06	1.5719e-06	2.03404e-05	3.34052e-05	5.98113e-06	6.67863e-05	0.000420808	0.00020135	0.000110517	8.26785e-05	4.96519e-05	7.05657e-06	7.73249e-06	3.37085e-06	2.20227e-07	3.13822e-05	2.46043e-05
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.000262274	0.000162617	0.000187594	0.000299453	0.000253578	6.47435e-05	0.000229379	0.000465158	0.000382443	0.000195761	0.000242043	0.000275223	6.68464e-05	6.92347e-05	7.48685e-05	3.69852e-05	7.67706e-05	0.000115048
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.000449686	0.000531616	0.000445831	0.000414619	0.000502384	0.000437106	0.00046943	0.000487683	0.000437317	0.000496595	0.000733821	0.000322822	0.000326353	0.000405698	0.000537094	0.000421133	0.000455427	0.000457518
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.000384203	0.000375612	0.000264201	0.000342071	0.000401934	0.000297423	0.000505517	0.000702136	0.000352353	0.00036544	0.000454095	0.000326096	0.000375619	0.000358442	0.000472046	0.000502131	0.00043192	0.00046247
CARNMET-PWY: L-carnitine degradation I	0	7.4849e-07	0	5.77187e-06	9.09183e-06	1.16213e-06	2.0369e-05	8.85282e-06	4.78085e-05	2.50069e-05	2.50161e-05	1.64095e-05	3.63511e-07	5.09061e-07	1.36759e-06	0	9.03603e-07	3.09088e-06
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	9.98291e-06	5.57642e-07	9.53646e-07	3.3643e-07	1.06541e-06	0	1.17886e-06	0.000192547	1.45946e-07	1.04942e-05	4.69435e-06	0	4.9149e-06	6.6417e-06	0	0	1.55575e-05	2.38185e-06
CENTFERM-PWY: pyruvate fermentation to butanoate	1.57789e-05	1.82163e-05	1.23399e-05	1.02257e-05	3.04437e-05	1.19542e-05	7.43039e-06	2.94024e-07	1.17728e-05	1.90027e-05	5.73058e-05	0	3.69087e-05	3.31765e-05	1.87895e-05	6.61625e-05	2.37742e-05	3.01052e-05
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0	0	0	0	0	5.89074e-07	0	0	0	0	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	9.9222e-05	0.00017699	0.000171219	0.000215263	0.000143283	0.00015068	0.000222284	0.00034062	0.000276701	0.000283762	0.000210133	0.000176675	7.19762e-05	4.40679e-05	4.29705e-05	6.4487e-05	3.17845e-05	6.13467e-05
