euclidean	A17	B22	EA48	EB17	EB01	EB13	YB31	EB02	P01	P22	Z16	M01	G01	YB54	YA23	YB56	YA04	YB43
A17	0	56.2	60.4	59.8	59.2	59.4	60.2	60.2	56.3	55.4	58.2	55.8	55.4	58.7	59.1	58.7	60.7	62.1
B22	56.2	0	45.7	48.8	50.1	50.2	50.4	51.4	50.0	48.6	50.0	50.2	53.1	53.9	54.6	57.2	63.2	69.3
EA48	60.4	45.7	0	43.5	45.4	45.9	46.0	47.1	51.8	50.6	49.0	52.7	56.6	51.2	54.2	56.6	65.5	72.4
EB17	59.8	48.8	43.5	0	47.5	46.9	47.3	46.4	53.2	53.0	50.3	54.8	57.5	52.1	52.9	55.5	62.8	68.8
EB01	59.2	50.1	45.4	47.5	0	48.1	49.7	49.8	54.9	53.6	51.1	54.4	57.6	51.3	54.1	55.7	61.9	68.3
EB13	59.4	50.2	45.9	46.9	48.1	0	48.5	48.0	54.8	54.1	51.6	55.3	57.8	51.2	52.8	55.1	62.3	67.1
YB31	60.2	50.4	46.0	47.3	49.7	48.5	0	49.0	55.3	54.2	50.9	55.6	58.0	51.0	51.9	53.4	60.6	66.8
EB02	60.2	51.4	47.1	46.4	49.8	48.0	49.0	0	54.6	54.8	50.9	55.5	58.4	52.1	53.1	55.7	61.2	66.3
P01	56.3	50.0	51.8	53.2	54.9	54.8	55.3	54.6	0	48.4	52.6	50.0	51.3	57.5	57.8	58.7	64.6	68.9
P22	55.4	48.6	50.6	53.0	53.6	54.1	54.2	54.8	48.4	0	52.5	49.3	49.4	56.5	57.2	58.5	64.0	69.4
Z16	58.2	50.0	49.0	50.3	51.1	51.6	50.9	50.9	52.6	52.5	0	53.4	55.8	53.9	54.8	56.1	61.5	66.9
M01	55.8	50.2	52.7	54.8	54.4	55.3	55.6	55.5	50.0	49.3	53.4	0	50.7	56.1	56.9	58.0	62.9	67.3
G01	55.4	53.1	56.6	57.5	57.6	57.8	58.0	58.4	51.3	49.4	55.8	50.7	0	59.4	57.9	58.7	62.8	66.3
YB54	58.7	53.9	51.2	52.1	51.3	51.2	51.0	52.1	57.5	56.5	53.9	56.1	59.4	0	53.5	53.2	57.7	63.6
YA23	59.1	54.6	54.2	52.9	54.1	52.8	51.9	53.1	57.8	57.2	54.8	56.9	57.9	53.5	0	53.7	57.3	61.5
YB56	58.7	57.2	56.6	55.5	55.7	55.1	53.4	55.7	58.7	58.5	56.1	58.0	58.7	53.2	53.7	0	55.5	59.7
YA04	60.7	63.2	65.5	62.8	61.9	62.3	60.6	61.2	64.6	64.0	61.5	62.9	62.8	57.7	57.3	55.5	0	55.2
YB43	62.1	69.3	72.4	68.8	68.3	67.1	66.8	66.3	68.9	69.4	66.9	67.3	66.3	63.6	61.5	59.7	55.2	0
