Genus	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Haemophilus	965	3808	237	2529	130	620	2066	7829	7230	2101
Prevotella	701	406	352	15645	1745	927	151	215	452	1591
Neisseria	702	4679	16	291	782	646	4270	4807	2561	1061
Fusobacterium	2218	1915	6396	796	1457	159	1130	1599	1187	2232
Streptococcus	769	1399	288	717	3216	1126	3374	2825	1367	1999
Rothia	106	1210	6	129	138	410	2474	1480	7541	350
Veillonella	196	803	15	4102	226	1121	804	447	1915	2811
Gemella	445	1361	437	140	501	51	2810	3605	404	234
Capnocytophaga	231	138	3469	38	2763	91	217	160	420	982
Homo	2958	537	44	11	785	2099	199	118	43	30
Leptotrichia	651	169	1919	581	390	138	316	127	224	1238
Aggregatibacter	6	29	3608	39	230	53	18	39	104	234
Campylobacter	199	144	652	1300	237	90	35	114	145	486
Tannerella	76	12	16	141	255	359	45	12	17	2251
Corynebacterium	3	0	1	25	4	1590	1	2	8	1272
Pseudopropionibacterium	18	0	0	2	10	1071	18	1	0	90
Actinomyces	13	3	13	12	204	401	71	6	78	285
Lautropia	25	0	3	0	57	686	97	0	26	133
Treponema	6	7	1	70	41	8	1	1	1	802
Selenomonas	9	1	0	271	82	2	3	0	4	533
Schaalia	8	16	0	6	76	11	246	13	418	54
Sphingomonas	518	325	0	0	1	1	0	0	1	1
Lachnoanaerobaculum	25	133	333	21	33	1	71	55	8	24
Toxoplasma	193	46	1	4	49	149	10	10	2	2
Staphylococcus	179	6	3	0	95	76	5	1	1	0
Cardiobacterium	0	0	0	2	0	244	12	0	20	44
Mogibacterium	3	13	0	70	115	27	12	1	5	5
Eikenella	33	7	0	5	54	37	39	6	21	20
Abiotrophia	53	0	0	0	88	0	60	1	1	9
Parvimonas	3	4	8	7	121	21	6	0	5	10
Capsicum	63	7	3	1	31	42	3	5	1	1
Ottowia	3	0	0	0	133	1	6	0	0	0
Acinetobacter	6	3	3	0	88	13	5	6	1	1
Cloacibacterium	5	7	1	0	16	74	10	3	3	1
Olsenella	0	0	0	1	10	0	1	0	0	88
Porphyromonas	1	8	10	24	26	3	4	4	3	16
Lactococcus	85	0	4	0	0	0	2	2	2	0
Pseudomonas	57	1	1	2	4	23	2	1	3	1
Lancefieldella	1	0	0	18	27	33	0	1	5	6
Mannheimia	0	22	5	4	0	1	2	48	3	3
Cutibacterium	24	18	0	0	15	10	1	0	1	2
Rodentibacter	1	5	14	4	0	3	1	22	16	1
Pauljensenia	0	1	0	0	4	0	0	0	5	53
Actinobacillus	0	5	12	0	0	1	3	29	5	2
Croceicoccus	37	20	0	0	0	0	0	0	0	0
Pasteurella	2	10	5	1	0	0	1	15	18	3
Filifactor	0	0	0	1	22	16	3	2	1	7
Kingella	4	1	0	4	0	1	6	2	15	14
Acidovorax	2	0	0	0	7	26	9	1	1	0
Dialister	0	0	15	2	2	0	1	0	2	24
Mycoplasma	2	1	0	0	15	0	1	0	7	17
Bacteroides	2	3	5	11	3	0	0	0	1	14
Glaesserella	1	4	0	4	0	0	4	15	6	0
Candidatus Nanosynbacter	0	0	0	1	11	1	0	1	3	16
Pseudoleptotrichia	1	1	6	0	0	0	1	5	3	15
Triticum	2	3	1	5	2	1	3	4	1	3
Bacillus	1	5	3	3	1	1	6	1	3	0
Sphingobium	14	7	0	0	1	2	0	0	0	0
Diaphorobacter	5	1	0	0	1	11	3	1	1	0
Oryza	7	1	3	0	5	4	1	0	0	2
Pantoea	0	19	0	1	0	1	1	0	1	0
Avibacterium	0	2	11	0	0	0	1	4	1	3
Chryseobacterium	1	5	4	0	0	3	4	4	1	0
unclassified	1	2	2	1	4	0	5	2	2	2
Histophilus	0	3	3	3	1	2	1	3	1	3
Moraxella	0	3	0	2	0	11	2	1	0	0
Vibrio	1	7	1	1	0	0	1	2	4	2
Bibersteinia	0	6	1	0	1	0	0	9	0	0
Juglans	5	1	0	0	4	6	0	0	0	0
Nicotiana	0	0	3	0	9	2	1	0	1	0
Ralstonia	1	0	0	0	0	13	2	0	0	0
Clostridium	1	1	3	1	1	0	3	2	0	3
Frederiksenia	0	2	1	0	0	3	1	6	1	1
Helianthus	3	0	4	1	0	3	2	2	0	0
Pseudoalteromonas	0	1	4	2	0	0	1	5	2	0
Lactobacillus	1	0	1	2	3	0	3	1	1	2
Providencia	0	3	1	1	0	1	1	5	0	2
Simonsiella	1	3	0	0	0	0	1	0	8	1
Enterococcus	0	4	1	0	2	0	3	2	1	0
