Genus	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Haemophilus	12	953	965	3808	237	2529	130	620	2066	7829	7230	2101
Fusobacterium	6700	95	2218	1915	6396	796	1457	159	1130	1599	1187	2232
Prevotella	1415	647	701	406	352	15645	1745	927	151	215	452	1591
Neisseria	111	401	702	4679	16	291	782	646	4270	4807	2561	1061
Streptococcus	134	554	769	1399	288	717	3216	1126	3374	2825	1367	1999
Capnocytophaga	6789	8	231	138	3469	38	2763	91	217	160	420	982
Rothia	3	49	106	1210	6	129	138	410	2474	1480	7541	350
Veillonella	82	246	196	803	15	4102	226	1121	804	447	1915	2811
Gemella	872	70	445	1361	437	140	501	51	2810	3605	404	234
Homo	71	2450	2958	537	44	11	785	2099	199	118	43	30
Leptotrichia	366	60	651	169	1919	581	390	138	316	127	224	1238
Aggregatibacter	213	18	6	29	3608	39	230	53	18	39	104	234
Campylobacter	379	65	199	144	652	1300	237	90	35	114	145	486
Tannerella	89	44	76	12	16	141	255	359	45	12	17	2251
Sphingomonas	8	2202	518	325	0	0	1	1	0	0	1	1
Corynebacterium	1	126	3	0	1	25	4	1590	1	2	8	1272
Pseudopropionibacterium	0	33	18	0	0	2	10	1071	18	1	0	90
Actinomyces	7	105	13	3	13	12	204	401	71	6	78	285
Lautropia	0	24	25	0	3	0	57	686	97	0	26	133
Treponema	2	3	6	7	1	70	41	8	1	1	1	802
Selenomonas	5	9	9	1	0	271	82	2	3	0	4	533
Filifactor	833	0	0	0	0	1	22	16	3	2	1	7
Schaalia	2	3	8	16	0	6	76	11	246	13	418	54
Lachnoanaerobaculum	42	1	25	133	333	21	33	1	71	55	8	24
Toxoplasma	3	164	193	46	1	4	49	149	10	10	2	2
Eikenella	280	5	33	7	0	5	54	37	39	6	21	20
Parvimonas	235	7	3	4	8	7	121	21	6	0	5	10
Staphylococcus	1	6	179	6	3	0	95	76	5	1	1	0
Cardiobacterium	0	13	0	0	0	2	0	244	12	0	20	44
Mogibacterium	18	4	3	13	0	70	115	27	12	1	5	5
Abiotrophia	3	0	53	0	0	0	88	0	60	1	1	9
Capsicum	4	44	63	7	3	1	31	42	3	5	1	1
Ottowia	59	1	3	0	0	0	133	1	6	0	0	0
Porphyromonas	37	49	1	8	10	24	26	3	4	4	3	16
Croceicoccus	0	125	37	20	0	0	0	0	0	0	0	0
Cloacibacterium	1	40	5	7	1	0	16	74	10	3	3	1
Acinetobacter	0	17	6	3	3	0	88	13	5	6	1	1
Lancefieldella	36	2	1	0	0	18	27	33	0	1	5	6
Pseudomonas	0	9	57	1	1	2	4	23	2	1	3	1
Mannheimia	0	12	0	22	5	4	0	1	2	48	3	3
Olsenella	0	0	0	0	0	1	10	0	1	0	0	88
Lactococcus	0	0	85	0	4	0	0	0	2	2	2	0
Sphingobium	0	70	14	7	0	0	1	2	0	0	0	0
Cutibacterium	0	20	24	18	0	0	15	10	1	0	1	2
Actinobacillus	0	15	0	5	12	0	0	1	3	29	5	2
Rodentibacter	1	3	1	5	14	4	0	3	1	22	16	1
Triticum	0	44	2	3	1	5	2	1	3	4	1	3
Pauljensenia	0	0	0	1	0	0	4	0	0	0	5	53
Pasteurella	1	4	2	10	5	1	0	0	1	15	18	3
Acidovorax	0	13	2	0	0	0	7	26	9	1	1	0
Dialister	12	1	0	0	15	2	2	0	1	0	2	24
Bacteroides	12	3	2	3	5	11	3	0	0	0	1	14
Porphyrobacter	0	40	7	6	0	0	0	0	0	0	0	0
Pseudoleptotrichia	19	1	1	1	6	0	0	0	1	5	3	15
Kingella	0	1	4	1	0	4	0	1	6	2	15	14
Mycoplasma	2	1	2	1	0	0	15	0	1	0	7	17
Glaesserella	0	6	1	4	0	4	0	0	4	15	6	0
Candidatus Nanosynbacter	0	0	0	0	0	1	11	1	0	1	3	16
Oryza	1	7	7	1	3	0	5	4	1	0	0	2
Diaphorobacter	0	7	5	1	0	0	1	11	3	1	1	0
Bacillus	1	2	1	5	3	3	1	1	6	1	3	0
Chryseobacterium	1	2	1	5	4	0	0	3	4	4	1	0
Histophilus	0	3	0	3	3	3	1	2	1	3	1	3
Moraxella	0	4	0	3	0	2	0	11	2	1	0	0
Pantoea	0	0	0	19	0	1	0	1	1	0	1	0
unclassified	2	0	1	2	2	1	4	0	5	2	2	2
Avibacterium	0	0	0	2	11	0	0	0	1	4	1	3
Juglans	0	6	5	1	0	0	4	6	0	0	0	0
Clostridium	4	1	1	1	3	1	1	0	3	2	0	3
Vibrio	0	0	1	7	1	1	0	0	1	2	4	2
Bibersteinia	0	1	0	6	1	0	1	0	0	9	0	0
Pseudoalteromonas	1	2	0	1	4	2	0	0	1	5	2	0
Sphingopyxis	0	10	4	1	0	0	1	1	0	1	0	0
Frederiksenia	0	2	0	2	1	0	0	3	1	6	1	1
Helianthus	1	1	3	0	4	1	0	3	2	2	0	0
Nicotiana	1	0	0	0	3	0	9	2	1	0	1	0
Ralstonia	0	1	1	0	0	0	0	13	2	0	0	0
Streptomyces	0	7	2	2	0	0	0	2	1	0	1	2
Gossypium	2	2	0	0	3	2	0	3	2	1	0	1
Lactobacillus	2	0	1	0	1	2	3	0	3	1	1	2
Manihot	0	6	3	3	1	0	0	0	1	1	0	1
Bergeyella	3	0	2	2	1	0	1	1	2	2	0	0
Enterococcus	1	0	0	4	1	0	2	0	3	2	1	0
Flavobacterium	1	2	0	0	3	1	4	0	0	0	0	3
Otariodibacter	0	1	0	1	4	0	1	0	0	4	1	2
Providencia	0	0	0	3	1	1	0	1	1	5	0	2
Simonsiella	0	0	1	3	0	0	0	0	1	0	8	1
Bifidobacterium	1	0	0	0	0	0	11	0	1	0	0	0
Novosphingobium	0	5	1	3	0	0	0	1	0	3	0	0
Alistipes	4	0	2	1	2	1	1	0	0	1	0	0
Altererythrobacter	0	11	0	1	0	0	0	0	0	0	0	0
Comamonas	0	4	0	1	0	0	5	1	1	0	0	0
Cupriavidus	0	4	0	1	0	0	0	3	1	1	2	0
Shewanella	0	0	0	1	2	0	1	0	1	1	4	2
Bradyrhizobium	0	6	1	0	0	0	0	3	0	0	0	1
Paenibacillus	1	0	0	0	1	4	1	1	2	1	0	0
Papaver	1	0	1	1	4	0	2	0	1	0	0	1
Physcomitrium	0	3	1	2	0	0	1	1	3	0	0	0
Xanthomonas	0	3	1	0	0	0	3	1	1	1	1	0
Burkholderia	0	2	0	0	0	0	2	5	0	1	0	0
Cucurbita	1	0	3	2	0	0	0	3	0	1	0	0
Lachnoclostridium	0	0	1	1	1	1	2	1	2	0	1	0
Lupinus	2	0	2	0	0	0	3	2	0	0	0	1
Quercus	1	1	3	1	0	0	0	1	2	0	1	0
Vigna	1	0	2	0	1	1	0	1	1	1	1	1
Aeromonas	0	4	0	0	0	1	0	0	0	4	0	0
Alloprevotella	4	0	0	1	0	1	1	0	0	0	0	2
Bisgaardia	0	0	0	0	2	1	0	3	0	0	2	1
