# Pathway	C1	C2
UNINTEGRATED|g__Alloprevotella.s__Alloprevotella_tannerae	0.0318262	0
UNINTEGRATED|g__Campylobacter.s__Campylobacter_showae	0.0226617	0
UNINTEGRATED|g__Eikenella.s__Eikenella_corrodens	0.0180054	0
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum	0.174448	0
UNINTEGRATED|g__Gemella.s__Gemella_morbillorum	0.0272861	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0.0232382
UNINTEGRATED|g__Haemophilus.s__Haemophilus_sputorum	0	0.0285127
UNINTEGRATED|g__Prevotella.s__Prevotella_nigrescens	0.0503579	0
UNINTEGRATED|g__Solobacterium.s__Solobacterium_moorei	0.0160746	0
UNINTEGRATED|g__Sphingomonas.s__Sphingomonas_melonis	0	0.218965
UNINTEGRATED|unclassified	0.0877445	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000220113	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000425244	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Sphingomonas.s__Sphingomonas_melonis	0	0.000115895
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000322764	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alloprevotella.s__Alloprevotella_tannerae	9.51904e-05	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000248672	0
COA-PWY: coenzyme A biosynthesis I|g__Alloprevotella.s__Alloprevotella_tannerae	7.5454e-05	0
COA-PWY: coenzyme A biosynthesis I|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000204198	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Fusobacterium.s__Fusobacterium_nucleatum	0.00028705	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Prevotella.s__Prevotella_nigrescens	7.54575e-05	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	0.000201689	0
FUCCAT-PWY: fucose degradation|g__Haemophilus.s__Haemophilus_sputorum	0	0.00010001
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Haemophilus.s__Haemophilus_sputorum	0	7.46242e-05
GLUTORN-PWY: L-ornithine biosynthesis|g__Haemophilus.s__Haemophilus_sputorum	0	5.30372e-05
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000301525	0
