# Feature	Level means (|ed)	P-value	Q-value
METSYN-PWY: L-homoserine and L-methionine biosynthesis	Supragingival_plaque:0.0004077|Stool:9.059e-05|Posterior_fornix:1.275e-05|Tongue_dorsum:0.0005423|Anterior_nares:2.585e-05|Buccal_mucosa:0.00112	6.477e-70	1.224e-67
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	Supragingival_plaque:0.0003854|Stool:9.416e-05|Posterior_fornix:9.412e-06|Tongue_dorsum:0.0005187|Anterior_nares:1.71e-05|Buccal_mucosa:0.0007963	7.074e-70	1.224e-67
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	Supragingival_plaque:0.0007095|Stool:5.553e-06|Posterior_fornix:1.768e-06|Tongue_dorsum:0.0001989|Anterior_nares:0.0002186|Buccal_mucosa:0.001337	1.115e-69	1.286e-67
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	Supragingival_plaque:0.0002616|Stool:5.078e-05|Posterior_fornix:7.601e-06|Tongue_dorsum:0.0003655|Anterior_nares:1.856e-05|Buccal_mucosa:0.0009729	3.124e-69	2.702e-67
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	Supragingival_plaque:0.0001445|Stool:3.478e-06|Posterior_fornix:2.321e-07|Tongue_dorsum:0.0001515|Anterior_nares:6.176e-06|Buccal_mucosa:0.0005249	7.574e-68	5.241e-66
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	Supragingival_plaque:0.000311|Stool:7.31e-05|Posterior_fornix:8.425e-06|Tongue_dorsum:0.0004838|Anterior_nares:5.945e-06|Buccal_mucosa:0.0005264	6.56e-67	3.783e-65
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	Supragingival_plaque:0.0007416|Stool:1.759e-05|Posterior_fornix:3.483e-06|Tongue_dorsum:0.0006484|Anterior_nares:0.0002229|Buccal_mucosa:0.0003094	1.098e-66	5.426e-65
PWY-3001: superpathway of L-isoleucine biosynthesis I	Supragingival_plaque:0.0007748|Stool:0.0002933|Posterior_fornix:1.806e-05|Tongue_dorsum:0.000893|Anterior_nares:5.512e-05|Buccal_mucosa:0.001016	2.768e-66	1.197e-64
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Supragingival_plaque:0.0009488|Stool:0.0003738|Posterior_fornix:4.112e-05|Tongue_dorsum:0.001091|Anterior_nares:0.0002584|Buccal_mucosa:0.001329	3.551e-66	1.229e-64
VALSYN-PWY: L-valine biosynthesis	Supragingival_plaque:0.0009488|Stool:0.0003738|Posterior_fornix:4.112e-05|Tongue_dorsum:0.001091|Anterior_nares:0.0002584|Buccal_mucosa:0.001329	3.551e-66	1.229e-64
