Taxonomy	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
k__Archaea|p__Candidatus_Lokiarchaeota	0	1	8	10	3	1	2	1	1	0	0	26	2	6	0	20	21	2
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia	0	1	8	10	3	1	2	1	1	0	0	26	2	6	0	20	21	2
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales	0	1	8	10	3	1	2	1	1	0	0	26	2	6	0	20	21	2
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales|f__Candidatus_Prometheoarchaeaceae	0	1	8	10	3	1	2	1	1	0	0	26	2	6	0	20	21	2
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales|f__Candidatus_Prometheoarchaeaceae|g__Candidatus_Prometheoarchaeum	0	1	8	10	3	1	2	1	1	0	0	26	2	6	0	20	21	2
k__Archaea|p__Candidatus_Lokiarchaeota|c__Candidatus_Lokiarchaeia|o__Candidatus_Prometheoarchaeales|f__Candidatus_Prometheoarchaeaceae|g__Candidatus_Prometheoarchaeum|s__Candidatus_Prometheoarchaeum_syntrophicum	0	1	8	10	3	1	2	1	1	0	0	26	2	6	0	20	21	2
k__Archaea|p__Candidatus_Micrarchaeota	2	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales|f__Candidatus_Micrarchaeaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales|f__Candidatus_Micrarchaeaceae|g__Candidatus_Micrarchaeum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeia|o__Candidatus_Micrarchaeales|f__Candidatus_Micrarchaeaceae|g__Candidatus_Micrarchaeum|s__Candidatus_Micrarchaeum_sp.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Micrarchaeota|g__Candidatus_Mancarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0
k__Archaea|p__Candidatus_Micrarchaeota|g__Candidatus_Mancarchaeum|s__Candidatus_Mancarchaeum_acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0
k__Archaea|p__Candidatus_Nanohaloarchaeota	0	0	2	1	1	0	2	0	0	0	0	8	0	4	18	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia	0	0	2	1	1	0	2	0	0	0	0	8	0	4	18	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales	0	0	2	1	1	0	2	0	0	0	0	8	0	4	18	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales|f__Candidatus_Nanohalobiaceae	0	0	2	1	1	0	2	0	0	0	0	8	0	4	18	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales|f__Candidatus_Nanohalobiaceae|g__Candidatus_Nanohalobium	0	0	2	1	1	0	2	0	0	0	0	8	0	4	18	0	2	0
k__Archaea|p__Candidatus_Nanohaloarchaeota|c__Candidatus_Nanohalobia|o__Candidatus_Nanohalobiales|f__Candidatus_Nanohalobiaceae|g__Candidatus_Nanohalobium|s__Candidatus_Nanohalobium_constans	0	0	2	1	1	0	2	0	0	0	0	8	0	4	18	0	2	0
k__Archaea|p__Candidatus_Thermoplasmatota	15	30	78	18	32	20	79	31	19	26	87	88	41	75	166	20	55	106
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	15	24	78	18	32	15	79	30	18	23	87	88	41	74	165	20	55	106
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	6	18	40	9	13	1	39	30	16	21	86	3	17	4	19	9	8	106
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae	6	11	16	3	3	1	17	28	15	13	70	1	7	0	0	4	0	33
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus	6	11	16	3	3	1	17	28	15	13	70	1	7	0	0	4	0	33
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus	6	11	16	3	3	1	17	28	15	13	70	1	7	0	0	4	0	33
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	0	7	24	6	10	0	22	2	1	8	14	2	10	4	19	5	8	73
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanoplasma	0	4	1	6	1	0	1	1	1	5	14	2	1	0	0	2	2	1
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanoplasma|s__Candidatus_Methanoplasma_termitum	0	4	1	6	1	0	1	1	1	5	14	2	1	0	0	2	2	1
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	0	3	23	0	9	0	21	1	0	3	0	0	9	4	19	3	6	72
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	0	3	23	0	9	0	21	1	0	3	0	0	9	4	19	3	6	72
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales	9	6	38	9	19	14	40	0	2	2	1	85	24	70	146	11	47	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae	0	0	19	5	11	2	15	0	0	0	0	56	16	42	122	8	5	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae|g__Cuniculiplasma	0	0	19	5	11	2	15	0	0	0	0	56	16	42	122	8	5	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae|g__Cuniculiplasma|s__Cuniculiplasma_divulgatum	0	0	19	5	11	2	15	0	0	0	0	56	16	42	122	8	5	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae	1	6	17	4	6	12	13	0	2	1	0	29	7	28	23	1	42	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Acidiplasma	1	6	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Acidiplasma|s__Acidiplasma_sp.	1	6	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma	0	0	17	4	6	12	11	0	0	0	0	29	6	28	23	1	42	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma|s__Ferroplasma_acidiphilum	0	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	35	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma|s__Ferroplasma_sp.	0	0	1	1	0	1	4	0	0	0	0	29	6	22	23	1	7	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae	8	0	1	0	0	0	6	0	0	0	1	0	1	0	1	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae|g__Picrophilus	8	0	1	0	0	0	6	0	0	0	1	0	1	0	1	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae|g__Picrophilus|s__Picrophilus_oshimae	8	0	1	0	0	0	6	0	0	0	1	0	1	0	1	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae	0	0	1	0	2	0	6	0	0	1	0	0	0	0	0	2	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma	0	0	1	0	2	0	6	0	0	1	0	0	0	0	0	2	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma|s__Thermoplasma_acidophilum	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma|s__Thermoplasma_volcanium	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	2	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|g__Aciduliprofundum	0	6	0	0	0	5	0	1	1	3	0	0	0	1	1	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|g__Aciduliprofundum|s__Candidatus_Aciduliprofundum_boonei	0	6	0	0	0	5	0	1	1	3	0	0	0	1	1	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_fulgidus	0	5	6	1	0	10	0	1	0	0	4	0	1	0	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus	1	1	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_sulfaticallidus	1	0	5	1	16	19	8	0	3	0	0	5	12	3	0	5	4	1
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_veneficus	0	2	1	2	2	0	0	0	0	0	1	0	0	1	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus_placidus	0	0	2	1	2	7	19	1	0	4	0	0	3	7	0	0	3	6
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_ahangari	0	5	1	2	2	15	3	1	2	1	0	0	0	2	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia	0	0	1	6	1	3	0	0	0	0	5	0	0	0	0	1	0	1
