ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	CO1	CO2	CO3	CO4	MA1	MA2	MA3	MA4	ME1	ME2	ME3	ME4	TH1	TH2	TH3	TH4
Mx_All_1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium sp028698405	56.6305786334176	78.5	5.13	39.13	2655200	3519	1	0.059829563	0.19768958	0.05589313	0	0.08393293	0.040294837	0.016108777	0.0341278	0	0.009450051	0	0.008932695	0	0	0	0
Mx_All_10	d__Bacteria	p__Bacillota	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__CALFAC01	s__	88.88784150818312	91.69	1.03	0.0	1974535	49623	1	0	0	0	0	0	0	0	0	0	0.038037166	0	0.006144603	0.15098129	0.093512684	0.14562036	0.084233046
Mx_All_100	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Vampirovibrionales	f__Vampirovibrionaceae	g__	s__	83.89873750737725	89.74	1.71	0.0	2563611	261502	1	0	0	0	0	0.7353771	0.14117377	0.018493418	0.17631511	0	0	0	0	0	0	0	0
Mx_All_101	d__Bacteria	p__Bacillota_B	c__Syntrophomonadia	o__Syntrophomonadales	f__Syntrophomonadaceae	g__	s__	83.79092317255228	96.33	3.1	21.43	2798562	39191	1	0.551696	0.035973664	0.29054302	0.054008294	0.018728191	0.019343415	0	0.036381964	0	0.01832474	0	0	0.06030407	0	0.09817186	0
Mx_All_102	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Pelagibacterium	s__	91.90468860953924	99.45	2.08	27.27	3577706	37579	1	0	0.019650241	0.059398532	0	0.13416336	0.51248634	0.5440438	0.19399074	0	0.04415587	0.028205458	0.11165246	0	0	0.19325338	0
Mx_All_103	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__JAAYXG01	s__JAAYXG01 sp012516015	66.08114251460582	94.7	6.25	4.88	4419886	44904	1	0.25428513	1.3741236	2.285211	0.100885324	1.4547535	2.173756	1.3090867	2.4541154	0	0.11485761	0.011073267	0.106172286	0	0	0	0
Mx_All_104	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Tissierellaceae	g__JAAYFT01	s__JAAYFT01 sp012519355	57.97114921306465	72.66	3.63	45.45	1886627	4194	1	0.014114944	0.093083724	0.21427827	0.015334707	0	0.028853102	0	0.020044312	0	0	0	0	0	0	0	0
Mx_All_105	d__Bacteria	p__Bacillota_G	c__Limnochordia	o__DTU080	f__JAAYLA01	g__CALKAQ01	s__	78.46129048714968	91.5	3.14	22.22	2153113	8456	1	0.015186841	0.011936676	0	0.0076551	0	0	0	0.011294143	0	0.029521575	0	0	0.046033364	0.13765328	0.16810292	0.030298626
Mx_All_106	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mobilitalea	s__	88.92442241686614	95.48	2.05	77.78	3536753	15844	1	0.019478275	0	0	0	0	0	0	0	0	0.010365069	0	0	1.5812337	0	0	0
Mx_All_107	d__Bacteria	p__Bacillota_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculaceae	g__Desulfotomaculum	s__Desulfotomaculum ferrireducens	57.58194649449295	60.05	0.84	0.0	1441753	2910	1	0.058352944	0	0.1975866	0	0	0	0	0	0	0.015048506	0	0	0	0	0	0
Mx_All_108	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__	98.5709210320146	99.56	0.77	60.0	3505368	62783	1	0	0	0	0	0	0.0086394455	0.8453434	0.010941926	0	0.01207695	0	0.0499422	0	0	0	0
Mx_All_109	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__JADJTR01	s__	79.85113730722492	93.36	3.22	11.76	3066339	26603	1	0.09001681	0.13134435	0.10133088	0.105324306	0.09047394	0.045084	0.028372727	0.05528965	0	0	0	0.016195197	0	0	0.009124804	0
Mx_All_11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Tepidimicrobiaceae	g__Tepidimicrobium	s__Tepidimicrobium xylanilyticum	91.056861720038	94.76	1.4	66.67	2658320	53329	1	0.3373261	0.009346338	0	0	0	0	0	0	0	0.11818734	0	0	0.68857133	0	0.043321915	0
Mx_All_110	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc pseudomesenteroides	37.6983992551159	59.65	5.26	50.0	1032501	2734	1	0	0	0	0	0	0	0	0	0.18051188	0.043372232	0.0074496553	0.08922702	0	0	0	0
Mx_All_111	d__Bacteria	p__Hydrogenedentota	c__Hydrogenedentia	o__Hydrogenedentiales	f__	g__	s__	91.34844717345564	100.0	2.25	0.0	5215013	157360	1	0	0	0.09897871	0	0	0.9175637	0.53721684	0.42461318	0	0	0	0	0	0	0	0
Mx_All_112	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__PR03	g__CAADGG01	s__	79.52493050297751	91.67	2.91	10.0	4276663	16899	1	0	0.02697082	0.07584688	0	0	0.7641445	1.1186186	0.3488211	0	0.008766808	0	0.052981455	0	0	0	0
Mx_All_113	d__Bacteria	p__Bacillota_G	c__Limnochordia	o__DTU010	f__DTU010	g__JAAYMS01	s__JAAYMS01 sp012521295	88.3173857107837	95.76	1.98	0.0	2639808	82181	1	0.23010467	0.06907954	0.15824056	0.056008436	0.008744431	0	0	0.011677728	0	0.19073497	0.013279076	0	1.756	0	0	0
Mx_All_114	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Amaricoccus	s__	84.64063826783016	95.8	2.86	37.5	3243929	13686	1	0	0.054887783	0.016405774	0	0.014288394	0.012854353	0.014844267	0.00924071	0	0.039002486	0.012030522	0.301452	0	0.02072113	0.0765336	0.0086318515
Mx_All_115	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__	83.53998616250949	97.3	3.4	31.25	3651624	22645	1	0	0.06330967	0.3662772	0.012066341	0	0.10494425	0.19113009	0.0883591	0	0	0	0	0	0	0	0
Mx_All_116	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Vampirovibrionales	f__Vampirovibrionaceae	g__	s__	88.88862007079874	94.87	1.71	0.0	2635274	137164	1	0	0	0.19159493	0	0.19740225	0.11994048	0.027810259	0.15502776	0	0	0	0	0	0	0	0
Mx_All_117	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__ZC4RG29	s__	90.3126671153515	99.4	2.38	8.33	4261681	169366	1	0	0	0.16410296	0	0.008048484	0.5738888	1.3898605	0.26032412	0	0.13370451	0.005057953	0.07198326	0	0	0	0
Mx_All_118	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Longimicrobiales	f__RSA9	g__CALCID01	s__	70.60436043393929	95.6	5.49	0.0	4147561	81044	1	0	4.122001	0.5629265	0.14477679	0.041972175	0.2407256	0.11369705	0.24525224	0	0	0	0	0	0	0	0
Mx_All_119	d__Bacteria	p__Bacillota_E	c__Symbiobacteriia	o__JAMDAP01	f__	g__	s__	93.02689403978377	91.25	0.09	100.0	2500244	18784	1	0.31527787	0.13129942	0	0.9182086	0	0	0	0.010770212	0	0	0	0	0	0	0.034669623	0
Mx_All_12	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__	60.37351758652808	86.66	5.81	13.33	5979185	9508	1	0.026714569	0.16646215	0.011885639	0.24779418	0	0	0	0.00722117	0	0	0	0	0	0	0	0
Mx_All_120	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus panis	74.21294101273355	97.15	5.48	42.86	1821822	16921	1	0	0	0.007985705	0	0	0	0	0	2.4903643	0.43299103	0.14911531	1.5106516	0.034008473	0.0086679375	0	0.035640422
Mx_All_121	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lutisporales	f__Lutisporaceae	g__Lutispora	s__	101.37115639766327	99.19	0.0	0.0	2960036	23031	1	0.3922929	0.01706821	0.16016752	0.02218738	0.024051202	0.00900147	0.03165472	0.018548897	0	0.009997584	0	0	0.5817972	0	0	0
Mx_All_122	d__Bacteria	p__Bacillota	c__Bacilli	o__Calditerricolales	f__Calditerricolaceae	g__Calditerricola	s__Calditerricola sp017577925	60.72256129207914	87.31	5.77	0.0	2350339	33506	1	0.015084244	0.039269466	0.011574209	0	0.01811629	0.010198611	0.013040047	0.021872105	0	0.023778625	0.05442547	0.00542806	0	0.04098973	0.33483526	29.683876
Mx_All_123	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__RF39	f__UBA660	g__	s__	58.17648158408363	64.81	1.69	0.0	680021	4295	1	0.058193438	0.06681327	0.11601275	0.08045973	0	0	0	0	0	0	0	0	0	0	0	0
Mx_All_124	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Tepidimicrobiaceae	g__JAAYFE01	s__	96.7781392428626	97.9	0.7	0.0	2650451	57053	1	0	0	0	0	0	0	0	0	0	0.098926686	0	0.0069269505	0.704169	0	0	0.006115885
