pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
 aspartate and glutamate metabolism [PATH:ko00250]	8746.559600000002	2530.8864000000003	5874.961300000002	20425.2824	15702.246799999999	10381.3925	10209.714499999998	3701.0231	15071.533299999997	17478.315430000006	17220.49813	18570.1062
 diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	0.0	92.0241	0.0	61.1123	0.0	787.5110000000001	0.0	0.0	0.0	109.252	0.0	0.0
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	0.0	0.0	151.39679999999996	352.5785	765.7316	187.259	177.4285	96.4958	355.29819999999995	301.7454	354.8624000000001	785.4849999999999
 leucine and isoleucine biosynthesis [PATH:ko00290]	11330.4614	387.0137	3812.6820000000002	5617.47011	12508.817099999998	2041.3193	3272.3822	4739.871500000001	5476.0335	5890.9082	6149.773999999999	8785.013200000001
 leucine and isoleucine degradation [PATH:ko00280]	6224.1513	1194.0193	1192.773	2075.28465	3699.5063	6959.7880000000005	1355.1646	76.7397	3832.2969	3592.7057999999997	3050.0131000000006	4821.1439
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	726.21	199.383	680.4467	1330.3907	1110.8149999999996	520.8969999999999	2081.6689	31.1184	1991.2313000000001	2518.6348	939.72357	304.5048
 serine and threonine metabolism [PATH:ko00260]	7382.982499999999	3108.5103000000004	3590.9118000000003	9722.3332	6868.149899999999	9216.707999999999	8663.0944	3632.8342	13082.538199999999	12398.8306	15384.411420000002	6042.7266
 tyrosine and tryptophan biosynthesis [PATH:ko00400]	7479.9655	2880.6558	2436.9833999999996	11723.618040000003	7013.375000000001	10498.873700000002	4077.1383	5349.7388	18220.12029999999	20963.961900000002	13653.282110000002	6184.222299999999
ABC transporters [PATH:ko02010]	38492.71390000002	9513.961299999994	16011.013400000007	43886.48478	36788.121	23131.565199999997	24600.1028	9187.030899999994	37322.71684999998	48003.27787000001	65388.976500000004	38374.88619999999
AMPK signaling pathway [PATH:ko04152]	1420.1948	0.0	582.4228999999998	2901.6103999999996	1442.7279	0.0	387.4039	181.96	261.3048	328.86719999999997	491.4303	871.65
Acarbose and validamycin biosynthesis [PATH:ko00525]	968.124	20.5934	0.0	827.22	1145.4374	1424.1390000000001	723.3525999999999	133.30540000000002	625.3401	1368.8581000000001	858.7903999999999	1550.545
Adipocytokine signaling pathway [PATH:ko04920]	381.704	0.0	149.0398	1175.2222	716.307	1122.5582000000004	468.9556	184.4112	784.7778000000001	2333.0433999999996	1015.9521	41.0001
African trypanosomiasis [PATH:ko05143]	270.377	0.0	0.0	0.0	0.0	0.0	0.0	89.7792	0.0	0.0	0.0	0.0
Alanine	8746.559600000002	2530.8864000000003	5874.961300000002	20425.2824	15702.246799999999	10381.3925	10209.714499999998	3701.0231	15071.533299999997	17478.315430000006	17220.49813	18570.1062
Alzheimer disease [PATH:ko05010]	482.0219	0.0	755.9183	3174.8788	4453.9568	1564.0766	838.0936999999998	43.5613	2458.0375	1499.2022	979.8101999999999	1340.2640000000001
Amino acid metabolism	1736.0279999999998	25.0334	187.1766	1310.9128	3804.2909999999997	105.20960000000001	820.2286	47.8177	3195.0820999999996	2313.1876	2796.7127	773.6
Amino acid related enzymes [BR:ko01007]	20295.698399999997	21149.827399999995	32517.846650000003	39617.70379000001	21433.187999999995	15250.068225000003	19619.494000000006	10090.3345	21188.46974	28781.900519999996	19487.432500000003	20158.3731
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	29471.508900000004	4397.3859999999995	8289.642800000001	26974.727699999996	11080.138300000004	13444.3458	11072.149699999998	4489.5665	21810.499399999997	14838.647100000002	22171.808200000007	19155.8823
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	13151.932500000003	21100.160099999994	31751.433400000005	35034.99842	13301.846200000002	12743.699725000002	18586.861500000003	10117.141000000001	19298.292940000007	20919.572219999995	19330.151400000002	21727.579
Aminobenzoate degradation [PATH:ko00627]	700.6129999999999	434.28479999999996	434.2906999999999	1584.362	1299.449	194.8666	218.34029999999998	80.3629	1014.1501000000001	487.53010000000006	1291.0637	1864.197
Amoebiasis [PATH:ko05146]	726.21	46.0127	737.7346000000002	1307.5366	1110.8149999999996	1566.5385999999999	2412.9017	176.6595	2770.2727000000004	1215.7218999999998	556.94287	1140.2839999999999
Amyotrophic lateral sclerosis [PATH:ko05014]	113.006	828.177	416.60179999999997	2408.6994	93.3304	635.3268000000002	147.07600000000002	0.0	1122.3001000000002	857.5082000000001	389.4221	849.3452
Antifolate resistance [PATH:ko01523]	1564.9143000000001	407.93519999999995	448.26619999999997	2777.4225	2609.7003	4341.810300000001	716.6865	596.1246	3787.3662	3845.8736	3651.2459000000003	2568.9424999999997
Antigen processing and presentation [PATH:ko04612]	232.1355	0.0	0.0	0.0	408.457	157.7888	141.45870000000005	0.0	0.0	0.0	32.4982	235.058
Antimicrobial resistance genes [BR:ko01504]	1867.5243	2060.5452	1439.7793	3001.257	1592.9630000000002	1297.7585	2943.6408	689.1032	2385.7335	4223.7593	6272.68158	4013.2488000000003
Apoptosis - fly [PATH:ko04214]	7515.6344	527.16	548.2606999999998	493.32810000000006	71.1805	1324.681	1246.9482	516.7833999999998	736.5930000000002	542.0751	2098.8729000000008	808.3281999999998
Apoptosis [PATH:ko04210]	0.0	0.0	0.0	0.0	0.0	178.34799999999996	0.0	30.9113	0.0	0.0	15.1935	0.0
Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.0	55.2019	130.058	378.3134	0.0	108.2847	0.0	284.548	347.8449	84.3565	410.36499999999995	320.45899999999995
