Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
t__SGB749	0.14092	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB6001	9.12019	0.00000	14.83072	0.00000	14.48665	0.99697	2.21791	0.00000	0.00000	0.00000	0.00000	0.71703
t__SGB1410	6.81162	0.00000	0.00000	0.00000	0.00000	0.00000	5.40213	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB6007	2.40177	0.00000	1.09376	0.00000	0.35207	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5.32591
t__SGB9663_group	0.00000	8.87616	0.00000	4.00690	0.00000	3.34694	0.00000	0.00000	2.17976	3.89370	18.80259	5.26167
t__SGB5880	0.00000	0.00000	0.00000	0.00000	0.00000	1.20800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB2016	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.48937
t__SGB7295	5.53790	0.00000	0.00000	0.00000	0.86140	0.00000	4.67373	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB19847	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65653	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB2477	1.25994	0.00000	0.00000	0.00000	0.00000	0.00000	4.04099	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB24947	1.47496	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB9419	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	8.12685	0.00000	0.00000	0.00000	0.00000
t__SGB2479	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37826	0.00000
t__SGB2492	2.57905	0.00000	0.00000	0.00000	13.54368	0.00000	0.88456	0.00000	0.00000	0.00000	0.00000	0.40575
t__SGB96438	0.00000	0.00000	0.00000	0.00000	2.01793	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB6063	0.00000	0.00000	0.00000	0.00000	3.30166	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB2516	0.00000	0.00000	0.00000	0.00000	0.87383	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB19290_group	0.00000	0.00000	0.00000	0.00000	9.58807	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB9450	0.00000	0.00000	17.26694	35.75949	0.00000	0.00000	2.16990	0.00000	25.72514	26.94500	14.96448	0.00000
t__SGB1458	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.21727
t__SGB6067	0.00000	0.00000	5.25281	2.64881	0.00000	0.00000	0.00000	12.45876	4.57944	1.21602	0.00000	0.00000
t__SGB1459	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	11.55424
t__SGB6069	1.28035	0.00000	0.00000	0.00000	9.34018	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
