"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"s__Actinomyces_bouchesdurhonensis"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Actinomyces_oris"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Actinomyces_SGB17157"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Aggregatibacter_segnis"	"587.21"	"0"	"0"	"0"	"30265.56"	"0"
"s__Aggregatibacter_sp_2125159857"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Alloprevotella_SGB1410"	"6811.62"	"0"	"0"	"0"	"0"	"0"
"s__Alloprevotella_sp_oral_taxon_473"	"7565.67"	"0"	"0"	"0"	"0"	"0"
"s__Arachnia_propionica"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Bacteroidetes_oral_taxon_274"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Campylobacter_concisus"	"0"	"0"	"0"	"0"	"0"	"2868.02"
"s__Campylobacter_SGB19292"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Campylobacter_SGB96438"	"0"	"0"	"0"	"0"	"2017.93"	"0"
"s__Capnocytophaga_gingivalis"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Capnocytophaga_granulosa"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Capnocytophaga_leadbetteri"	"2579.05"	"0"	"0"	"0"	"13543.68"	"0"
"s__Capnocytophaga_SGB2480"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Capnocytophaga_sputigena"	"23840.68"	"0"	"0"	"0"	"0"	"0"
"s__Cardiobacterium_SGB9419"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Corynebacterium_matruchotii"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Dialister_invisus"	"0"	"0"	"0"	"0"	"0"	"0"
"s__Eubacterium_sulci"	"0"	"0"	"0"	"0"	"0"	"1176.26"
"s__Filifactor_alocis"	"4617.2"	"0"	"0"	"0"	"0"	"0"
"s__Fusobacterium_nucleatum"	"25280.79"	"0"	"27785.58"	"0"	"18585.07"	"1362.94"
