Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
s__Leptotrichia_wadei	0.00000	0.00000	0.00000	0.00000	0.00000	0.69204	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB1088_SGB1395	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	12.20647	0.00000	0.00000	0.00000	0.00000	0.00000
s__Tannerella_serpentiformis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.71047	0.00000	0.00000	0.00000	10.57549
s__Leptotrichia_sp_oral_taxon_212	0.00000	0.00000	5.41157	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Leptotrichia_massiliensis	0.00000	0.00000	0.00000	0.00000	3.30166	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Leptotrichia_sp_oral_taxon_215	0.00000	0.00000	5.25281	2.64881	0.00000	0.00000	0.00000	12.45876	4.57944	1.21602	0.00000	0.00000
s__Leptotrichia_SGB6069	1.28035	0.00000	0.00000	0.00000	9.34018	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB1843_SGB2516	0.00000	0.00000	0.00000	0.00000	0.87383	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Alloprevotella_sp_oral_taxon_473	7.56567	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Gemella_morbillorum	11.07580	0.00000	0.00000	0.00000	1.72280	0.00000	9.34746	0.00000	0.00000	0.00000	0.00000	0.00000
s__Corynebacterium_matruchotii	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	24.67902	0.00000	0.00000	0.00000	2.40142
s__Peptostreptococcus_SGB749	0.14092	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB12441_SGB19290	0.00000	0.00000	0.00000	0.00000	9.58807	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Neisseria_sp_oral_taxon_014	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.57586
s__Haemophilus_sputorum	0.00000	32.41837	0.00000	2.57137	0.00000	0.00000	0.00000	0.00000	0.00000	4.55856	0.00000	0.00000
s__Veillonella_parvula	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.42275	0.00000	0.00000	0.00000	11.00322
s__Treponema_denticola	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37518
s__Prevotella_oulorum	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54233
s__Capnocytophaga_SGB2480	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5.03494	0.00000	0.00000	0.00000	0.00000	0.00000
s__Streptococcus_infantis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	13.40419	0.00000	3.17850	0.00000
s__Granulicatella_SGB8239	0.00000	0.00000	0.00000	0.00000	0.51783	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Prevotella_nigrescens	15.50071	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.47246
s__Actinomyces_SGB17157	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5.25778	0.00000
s__Granulicatella_SGB8255	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.40741	0.00000	0.00000	0.00000
s__Neisseria_subflava	0.00000	0.00000	17.26694	35.75949	0.00000	0.00000	2.16990	0.00000	25.72514	26.94500	14.96448	0.00000
s__Alloprevotella_SGB1410	6.81162	0.00000	0.00000	0.00000	0.00000	0.00000	5.40213	0.00000	0.00000	0.00000	0.00000	0.00000
s__Prevotella_salivae	0.00000	0.00000	0.00000	0.00000	0.00000	0.32441	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Capnocytophaga_leadbetteri	2.57905	0.00000	0.00000	0.00000	13.54368	0.00000	0.88456	0.00000	0.00000	0.00000	0.00000	0.40575
s__Streptococcus_parasanguinis	0.00000	0.00000	0.00000	4.21787	0.00000	0.00000	0.00000	0.40245	0.00000	2.54197	0.25496	0.00000
s__Haemophilus_haemolyticus	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	12.36251
s__Dialister_invisus	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.23470
s__Veillonella_rogosae	0.00000	0.00000	0.00000	2.92749	0.00000	0.00000	0.00000	0.40287	6.30716	0.47485	17.82084	0.00000
s__Streptococcus_australis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.63048	0.00000	0.00000	0.00000
s__Haemophilus_parainfluenzae	0.00000	8.87616	12.94185	4.00690	0.00000	10.05363	0.00000	0.00000	2.17976	3.89370	18.80259	5.26167
s__Veillonella_atypica	0.00000	0.00000	0.00000	0.00000	0.00000	23.41454	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Gemella_sanguinis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	27.49292	0.00000	0.69948	0.00000
s__Actinomyces_oris	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	7.68720	0.00000	0.00000	0.00000	0.00000
s__Rothia_mucilaginosa	0.00000	0.00000	0.00000	3.63255	0.00000	0.00000	0.00000	0.00000	7.56978	2.66114	27.52406	0.00000
