# Pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
UNMAPPED	0.647266	0.80381	0	0.627884	0.588091	0.530016	0.763519	0.892689	0.577645	0.486358	0.524084	0.757734
UNINTEGRATED	0.339813	0.194424	0	0.351035	0.382036	0.440724	0.23216	0.107103	0.395142	0.467051	0.431553	0.23875
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	0.0964965	0	0	0	0	0	0	0
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0	0	0	0	0.153239	0	0	0	0	0	0	0
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum	0.15448	0	0	0	0.196091	0	0	0	0	0	0	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0.0119314	0	0	0	0	0	0.0942154	0	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0.00702771	0	0.0215804	0	0	0	0.0203089	0.125353	0.00346353
UNINTEGRATED|g__Haemophilus.s__Haemophilus_sp_HMSC71H05	0	0	0	0.00866508	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_sputorum	0	0	0	0	0	0	0	0	0	0.00456503	0	0
UNINTEGRATED|g__Neisseria.s__Neisseria_flavescens	0	0	0	0.0763491	0	0	0	0	0.0735615	0.0715399	0	0
UNINTEGRATED|g__Neisseria.s__Neisseria_perflava	0	0	0	0	0	0	0	0	0	0	0.0132395	0
UNINTEGRATED|g__Neisseria.s__Neisseria_subflava	0	0	0	0.0662937	0	0	0	0	0.0534703	0.0650949	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0.195505	0	0	0	0	0	0
UNINTEGRATED|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0.0721772	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	0.0231611	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0.0276697	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis	0	0	0	0	0	0	0.0381879	0	0	0.0223978	0.0111587	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	0.0113962	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_sp_F0442	0	0	0	0	0	0	0	0	0.0127737	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_atypica	0	0	0	0	0	0.128201	0	0	0	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_infantium	0	0	0	0	0	0	0	0	0	0	0.00785377	0
UNINTEGRATED|g__Veillonella.s__Veillonella_rogosae	0	0	0	0	0	0	0	0	0	0	0.0542871	0
UNINTEGRATED|unclassified	0.130693	0	0	0.0655415	0.155101	0	0.0605954	0.0504646	0.148711	0.140924	0.100753	0.0817619
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0	0	0	0	0	0.000424523	0	0	0.000395861	0.000435606	0.000283868	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	9.79728e-05	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0.000374906	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0	0	0	0.000233968	0	0.000426104	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0	0	0	0.000276703	0.000381008	0.000528675	0	0	0.000462374	0.000385068	0.00021071	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	8.58452e-05	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0	0	0	0	0.000220998	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	0	0	0	0	0	0	0	0	0.000294694	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	6.95479e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	8.4782e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	0	0	0.000189342	0	0	0	0	0	0.000336184	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	8.44435e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	0.00012902	0	0
ARO-PWY: chorismate biosynthesis I	0.000309248	0	0	0	0	0	0	0	0.000364123	0.000380109	0.000246252	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0	0	0	0.000202338	0	0.000463817	0	0	0	0.000275859	0.000247917	9.68404e-05
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	0.000151594	0	0
