# Pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
UNMAPPED	17454.0083099194	23730.5023508297	0.0000000000	20263.5386335756	16420.1329690630	12317.6849363429	25126.5749749150	0.0000000000	18589.4670548639	18648.2213970206	18719.1344972315	29362.4380051070
UNINTEGRATED	13541.9892468728	8824.3083215074	0.0000000000	15909.0036265964	14311.6534845937	12946.9268600262	10467.7817966915	0.0000000000	18759.6309693295	25174.5859273966	21215.4884605422	14227.7590642614
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	4293.5390920027	0	0	0	0	0	0	0
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0	0	0	0	1776.1267699636	0	0	0	0	0	0	0
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum	6077.7497413782	0	0	0	6958.2327714775	0	0	0	0	0	0	0
UNINTEGRATED|g__Gemella.s__Gemella_sanguinis	0	0	0	0	0	0	0	0	1081.2446779911	0	0	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_influenzae	0	0	0	0	0	0	0	0	0	0	863.7825449698	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	247.5661219265	0	0	0	0	0	3967.5533214835	0	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	491.3430043914	0	0	780.1817121270	420.4060885029	6319.1335580056	184.8992462933
UNINTEGRATED|g__Neisseria.s__Neisseria_flavescens	0	0	0	2810.4962512874	0	0	0	0	2040.2638937644	2758.2738125188	471.0218632478	0
UNINTEGRATED|g__Neisseria.s__Neisseria_meningitidis	0	0	0	763.8463532708	0	0	0	0	772.9213222663	850.1661990017	0	0
UNINTEGRATED|g__Neisseria.s__Neisseria_subflava	0	0	0	3247.0992882157	0	0	0	0	2706.2514188576	2516.2282197625	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	5439.7229373279	0	0	0	0	0	0
UNINTEGRATED|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	3292.5077392533	0
