Sample	FastQC_percent_gc	FastQC_total_sequences	FastQC_percent_duplicates	FastQC_percent_fails	FastQC_avg_sequence_length
seq | C1_1	37.0	75000.0	0.10533333333333417	0.0	101.0
seq | C1_2	37.0	75000.0	0.18666666666666742	0.0	101.0
seq | C2_1	46.0	75000.0	10.317333333333337	36.36363636363637	101.0
seq | C2_2	45.0	75000.0	4.598666666666659	36.36363636363637	101.0
seq | C3_1	38.0	75000.0	6.082666666666668	18.181818181818183	101.0
seq | C3_2	38.0	75000.0	12.813333333333333	36.36363636363637	101.0
seq | C4_1	43.0	75000.0	0.5826666666666682	0.0	101.0
seq | C4_2	43.0	75000.0	1.6586666666666616	0.0	101.0
seq | C5_1	37.0	75000.0	0.31733333333333746	9.090909090909092	101.0
seq | C5_2	37.0	75000.0	2.450666666666663	18.181818181818183	101.0
seq | C6_1	40.0	75000.0	0.214666666666659	0.0	101.0
seq | C6_2	40.0	75000.0	0.20533333333332848	0.0	101.0
seq | N1_1	40.0	75000.0	1.5586666666666673	9.090909090909092	101.0
seq | N1_2	40.0	75000.0	3.352000000000004	9.090909090909092	101.0
seq | N2_1	44.0	75000.0	2.4906666666666695	9.090909090909092	101.0
seq | N2_2	44.0	75000.0	9.546666666666667	36.36363636363637	101.0
seq | N3_1	42.0	75000.0	0.519999999999996	9.090909090909092	101.0
seq | N3_2	42.0	75000.0	0.5919999999999987	0.0	101.0
seq | N4_1	41.0	75000.0	0.36266666666666936	0.0	101.0
seq | N4_2	41.0	75000.0	0.3640000000000043	0.0	101.0
seq | N5_1	45.0	75000.0	0.14800000000001035	9.090909090909092	101.0
seq | N5_2	45.0	75000.0	0.18533333333333246	9.090909090909092	101.0
seq | N6_1	44.0	75000.0	0.046666666666666856	0.0	101.0
seq | N6_2	44.0	75000.0	0.07466666666667265	0.0	101.0
